          PEN1-5R    PEN1-5L    PEN1-6Ra   PEN1-6Rb   PEN1-6La   PEN1-6Lb   PEN1-7R    PEN1-7L    PEN2-5R    PEN2-5L    PEN2-6Ra   PEN2-6Rb   PEN2-6La   PEN2-6Lb   PEN2-7R    PEN2-7L    EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-6Ra    EPG-6Rb    EPG-6La    EPG-6Lb    PEG-5R     PEG-5L     PEG-6R     PEG-6L     Ra         Rb         Rc         Rd         Re         Rf         Rg         
PEN1-5R    0          0          0          1          0          1          0          8          14         0          0          0          4          0          0          8          19         8          2          56         35         36         0          0          64         81         0          0          0          1          0          0          0          0          1          1          2          
PEN1-5L    0          0          4          1          2          2          12         0          0          6          0          1          0          1          10         0          16         20         45         8          8          17         77         59         0          0          0          0          5          0          5          3          0          0          1          3          1          
PEN1-6Ra   1          3          0          8          5          6          3          0          2          0          5          8          5          6          2          0          37         39         26         43         42         53         3          8          6          7          0          0          0          0          0          0          0          0          0          0          0          
PEN1-6Rb   0          2          2          0          2          7          3          1          0          0          4          5          0          5          0          0          33         22         32         36         31         60         5          2          15         7          1          2          0          0          0          0          0          0          0          0          0          
PEN1-6La   1          0          5          10         0          7          2          2          0          0          4          5          5          3          1          0          46         26         28         39         36         48         1          3          11         5          2          3          0          0          0          0          0          0          0          1          3          
PEN1-6Lb   2          2          6          13         10         0          2          1          0          0          0          2          4          7          0          1          41         40         38         45         37         60         4          2          10         9          3          2          0          0          0          0          2          0          0          1          1          
PEN1-7R    0          12         2          2          1          1          0          0          0          8          0          1          0          0          5          0          25         28         45         9          7          14         75         58         0          0          0          0          1          0          1          0          0          0          0          0          2          
PEN1-7L    5          0          1          2          4          3          0          1          10         0          0          0          0          0          0          4          22         9          8          54         34         35         0          0          72         81         0          1          0          3          3          1          2          0          0          1          0          
PEN2-5R    1          0          1          0          0          0          0          4          0          0          1          0          0          0          0          17         0          0          0          24         10         3          0          0          31         45         0          0          0          3          2          1          0          1          0          0          0          
PEN2-5L    0          3          0          0          0          0          2          0          0          0          0          0          0          0          14         0          3          7          33         1          0          0          60         41         0          0          0          0          2          0          1          1          1          0          0          0          1          
PEN2-6Ra   1          0          1          1          1          0          0          0          0          0          0          9          14         5          0          0          36         22         21         34         26         36         0          0          2          4          2          2          0          0          1          1          1          0          0          0          4          
PEN2-6Rb   0          0          4          1          0          3          0          0          0          0          8          0          7          9          0          1          38         21         17         20         27         32         0          0          0          1          3          2          0          0          1          0          0          0          0          0          0          
PEN2-6La   1          0          2          0          2          1          0          0          1          0          10         6          0          11         1          1          38         29         20         36         19         50         0          0          0          4          1          1          0          0          0          0          0          3          0          0          3          
