          PEN1-5R    PEN1-5L    PEN1-6Ra   PEN1-6Rb   PEN1-6La   PEN1-6Lb   PEN1-7R    PEN1-7L    PEN2-5R    PEN2-5L    PEN2-6Ra   PEN2-6Rb   PEN2-6La   PEN2-6Lb   PEN2-7R    PEN2-7L    EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-6Ra    EPG-6Rb    EPG-6La    EPG-6Lb    PEG-5R     PEG-5L     PEG-6R     PEG-6L     D7-5R4La   D7-5R4Lb   D7-6R3La   D7-6R3Lb   D7-7R2L    D7-2R7L    D7-1R9R8L  
PEN1-5R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-5L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-6Ra   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-6Rb   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-6La   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-6Lb   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-7R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-7L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN2-5R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN2-5L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN2-6Ra   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN2-6Rb   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1          
PEN2-6La   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN2-6Lb   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN2-7R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN2-7L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
EPG-5Ra    4          0          0          0          0          0          0          0          5          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          92         0          0          0          2          0          3          0          4          0          25         
EPG-5Rb    9          0          0          0          0          0          0          0          7          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          52         0          2          0          1          3          1          2          10         2          22         
EPG-5Rc    11         0          0          0          0          0          0          0          11         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          71         0          1          0          1          7          3          0          1          2          22         
EPG-5La    0          9          0          0          0          0          0          0          0          22         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          74         0          1          1          0          0          4          9          0          15         
EPG-5Lb    0          16         0          0          0          0          0          0          0          16         0          0          0          0          0          0          0          0          0          1          0          0          0          0          0          0          0          80         0          0          2          0          0          2          8          7          22         
EPG-5Lc    0          15         0          0          0          0          0          0          0          17         0          0          0          1          0          0          0          0          0          0          0          0          0          0          0          0          0          66         0          4          0          1          1          1          19         2          19         
EPG-6Ra    0          0          12         0          0          0          0          0          0          0          7          9          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          67         0          1          0          0          4          9          10         16         
EPG-6Rb    0          0          11         5          0          0          0          0          0          0          3          7          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1          0          45         0          2          0          1          1          2          4          21         
EPG-6La    0          0          0          0          2          0          0          0          0          0          0          0          4          7          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          89         2          5          2          7          10         4          9          
EPG-6Lb    0          0          0          0          7          0          0          0          0          0          0          0          8          13         0          0          0          0          0          0          0          0          0          0          0          0          0          1          0          80         5          1          4          21         5          1          10         
PEG-5R     0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEG-5L     0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEG-6R     0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEG-6L     0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
D7-5R4La   6          1          0          0          0          0          0          0          81         15         0          0          0          0          0          0          9          8          17         2          1          0          0          1          0          0          62         13         2          0          0          22         5          6          2          11         22         
