          PEN1-5R    PEN1-5L    PEN1-6Ra   PEN1-6Rb   PEN1-6La   PEN1-6Lb   PEN1-7R    PEN1-7L    PEN2-5R    PEN2-5L    PEN2-6Ra   PEN2-6Rb   PEN2-6La   PEN2-6Lb   PEN2-7R    PEN2-7L    
PEN1-5R    0          0          32         24         0          0          36         0          16         0          11         6          0          0          18         0          
PEN1-5L    0          0          0          0          15         12         0          37         0          20         0          0          5          11         0          13         
PEN1-6Ra   30         0          0          18         0          0          20         0          7          0          8          8          0          0          7          0          
PEN1-6Rb   19         0          22         0          0          0          28         0          8          0          8          4          0          0          7          0          
PEN1-6La   0          16         0          0          0          21         0          17         0          12         0          0          8          14         0          12         
PEN1-6Lb   0          12         0          0          13         0          0          15         0          3          0          0          4          3          0          8          
PEN1-7R    30         0          23         22         0          0          0          0          11         0          12         9          0          0          20         0          
PEN1-7L    0          36         0          0          15         12         0          0          0          26         0          0          6          16         0          19         
PEN2-5R    15         0          4          6          0          0          8          0          0          0          10         5          0          0          42         0          
PEN2-5L    0          13         0          0          12         6          0          12         0          0          0          0          6          6          0          35         
PEN2-6Ra   5          0          7          4          0          0          7          0          16         0          0          10         0          0          10         0          
PEN2-6Rb   8          0          10         8          0          0          12         0          9          0          21         0          0          0          8          0          
PEN2-6La   0          10         0          0          5          5          0          3          0          11         0          0          0          17         0          12         
PEN2-6Lb   0          7          0          0          5          11         0          5          0          11         0          0          18         0          0          15         
PEN2-7R    17         0          4          11         0          0          18         0          29         0          10         14         0          0          0          0          
PEN2-7L    0          16         0          0          9          7          0          20         0          35         0          0          8          8          0          0                 
