gene_id	transcript_id(s)	length	Sample_20_5_7	Sample_20_5_8	Sample_20_6_1	Sample_20_6_2	Sample_20_6_3	Sample_20_6_4	current_symbol	FBgn	full_name	primaryID	GO_terms
ERCC-00002	DQ459430	1061.0	973.5	1843.46	1548.17	727.82	2569.85	2879.58					
ERCC-00003	DQ516784	1023.0	95.85	223.72	68.98	90.31	151.67	435.73					
ERCC-00004	DQ516752	523.0	488.12	915.16	614.97	299.36	1224.59	867.78					
ERCC-00009	DQ668364	984.0	33.46	63.24	89.47	24.66	52.36	220.12					
ERCC-00012	DQ883670	994.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00013	EF011062	808.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00014	DQ875385	1957.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00016	DQ883664	844.0	0.0	0.0	5.68	0.0	0.0	0.0					
ERCC-00017	DQ459420	1136.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00019	DQ883651	644.0	0.15	10.67	0.44	1.54	8.26	8.4					
ERCC-00022	DQ855004	751.0	7.63	7.01	41.25	4.61	10.79	42.33					
ERCC-00024	DQ854993	536.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00025	DQ883689	1994.0	15.27	22.11	19.43	15.8	57.55	41.04					
ERCC-00028	DQ459419	1130.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00031	DQ459431	1138.0	0.0	0.15	0.0	0.0	0.0	0.0					
ERCC-00033	DQ516796	2022.0	0.0	0.0	0.0	0.0	0.18	0.0					
ERCC-00034	DQ855001	1019.0	1.84	0.0	0.58	0.0	0.19	17.28					
ERCC-00035	DQ459413	1130.0	0.0	20.45	0.59	9.15	21.67	25.58					
ERCC-00039	DQ883656	740.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00040	DQ883661	744.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00041	EF011069	1122.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00042	DQ516783	1023.0	78.1	186.32	117.41	92.75	299.21	430.35					
ERCC-00043	DQ516787	1023.0	5.76	22.96	1.32	2.4	10.83	6.37					
ERCC-00044	DQ459424	1156.0	7.35	8.28	5.71	0.08	3.64	0.82					
ERCC-00046	DQ516748	522.0	165.72	172.46	274.35	92.56	279.78	560.34					
ERCC-00048	DQ883671	992.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00051	DQ516740	274.0	0.0	0.0	0.0	0.0	1.32	0.0					
ERCC-00053	DQ516785	1023.0	0.61	1.38	0.58	1.15	0.29	6.46					
ERCC-00054	DQ516731	274.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00057	DQ668366	1021.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00058	DQ459418	1136.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00059	DQ668356	525.0	0.0	0.0	0.0	0.0	3.77	0.0					
ERCC-00060	DQ516763	523.0	35.95	60.84	36.32	39.92	158.82	130.56					
ERCC-00061	DQ459426	1136.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00062	DQ516786	1023.0	0.61	2.15	0.66	1.44	5.82	17.03					
ERCC-00067	DQ883653	644.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00069	DQ459421	1137.0	0.0	0.0	0.0	0.08	0.0	0.0					
ERCC-00071	DQ883654	642.0	12.28	0.15	44.66	1.71	5.08	23.44					
ERCC-00073	DQ668358	603.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00074	DQ516754	522.0	792.82	1254.93	1164.18	596.82	2351.75	2229.04					
ERCC-00075	DQ516778	1023.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00076	DQ883650	642.0	1.71	0.15	0.0	3.43	21.83	53.47					
ERCC-00077	DQ516742	273.0	0.0	0.0	0.0	0.0	0.0	24.02					
ERCC-00078	DQ883673	993.0	0.81	7.46	1.45	12.74	0.1	8.76					
ERCC-00079	DQ883652	644.0	2.79	5.79	17.38	4.95	42.97	0.0					
ERCC-00081	DQ854991	534.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00083	DQ516780	1022.0	0.0	0.0	0.0	0.0	0.0	0.0					
