gene_id,E-PG_l1r1,E-PG_l1r2,E-PG_l2r1,E-PG_l2r2,P-EG_r1,P-EG_r2,D7_l1r1,D7_l1r2,D7_l2r1,D7_l2r2,P-EN2_l1r1,P-EN2_l2r1,wholebrain_1,wholebrain_2
ERCC-00002,1548.17,727.82,173.11,298.57,231.35,270.79,973.5,1843.46,212.84,133.78,442.95,357.99,2.61,3.01
ERCC-00003,68.98,90.31,41.6,26.95,36.51,34.27,95.85,223.72,39.95,50.21,67.55,35.09,0.89,0.56
ERCC-00004,614.97,299.36,186.32,76.96,141.78,122.78,488.12,915.16,89.91,83.46,295.06,220.27,4.17,6.02
ERCC-00009,89.47,24.66,19.9,4.68,16.55,12.16,33.46,63.24,3.21,4.2,33.26,44.14,0.68,0.12
ERCC-00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0
ERCC-00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
ERCC-00016,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00019,0.44,1.54,0.0,0.0,0.0,0.0,0.15,10.67,0.54,0.0,0.0,0.0,0.0,0.0
ERCC-00022,41.25,4.61,2.26,0.0,0.0,4.81,7.63,7.01,0.34,0.06,0.34,0.7,0.47,0.0
ERCC-00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00025,19.43,15.8,5.96,10.2,7.41,8.96,15.27,22.11,10.96,6.0,0.48,1.92,0.0,0.05
ERCC-00028,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0
ERCC-00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00033,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00034,0.58,0.0,0.0,0.0,0.4,0.0,1.84,0.0,0.03,0.0,0.0,0.06,0.0,0.0
ERCC-00035,0.59,9.15,0.52,0.09,0.9,0.0,0.0,20.45,3.49,0.38,3.62,0.57,0.0,0.05
ERCC-00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00040,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00042,117.41,92.75,27.99,24.0,27.01,21.54,78.1,186.32,23.51,23.5,47.26,90.89,0.52,0.84
ERCC-00043,1.32,2.4,1.52,0.03,4.25,0.8,5.76,22.96,1.55,0.71,1.09,1.63,0.06,0.0
ERCC-00044,5.71,0.08,0.0,0.0,0.0,0.0,7.35,8.28,0.03,0.0,0.2,0.29,0.0,0.0
ERCC-00046,274.35,92.56,10.33,14.96,15.99,15.17,165.72,172.46,18.57,9.22,34.72,21.71,1.55,1.08
ERCC-00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00053,0.58,1.15,0.0,0.03,0.03,5.08,0.61,1.38,0.0,0.08,2.38,0.06,0.06,0.0
ERCC-00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00059,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
ERCC-00060,36.32,39.92,29.29,32.98,9.09,20.81,35.95,60.84,35.51,30.94,71.58,7.31,0.46,0.26
ERCC-00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00062,0.66,1.44,1.33,0.03,0.73,0.31,0.61,2.15,0.51,0.16,1.29,0.03,0.0,0.0
ERCC-00067,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00069,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00071,44.66,1.71,0.06,5.36,0.0,0.0,12.28,0.15,1.26,0.35,0.47,0.34,0.23,0.0
ERCC-00073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00074,1164.18,596.82,123.5,96.21,170.95,158.94,792.82,1254.93,137.35,96.9,491.15,324.47,3.88,2.68
ERCC-00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00076,0.0,3.43,2.24,0.0,0.0,1.67,1.71,0.15,0.0,0.0,74.9,0.06,0.0,0.0
ERCC-00077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00078,1.45,12.74,0.0,0.34,0.0,1.01,0.81,7.46,0.0,0.0,0.03,0.0,0.13,0.0
ERCC-00079,17.38,4.95,0.0,0.0,2.55,0.0,2.79,5.79,0.0,0.0,1.17,0.0,0.0,0.0
ERCC-00081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
ERCC-00084,0.0,0.0,1.61,0.14,0.0,0.0,3.89,0.0,0.0,0.04,0.0,0.03,0.0,0.0
