"","P387_Q601A","P387_Q601B","P387_Q601C","P387_Q601D","P387_Q601E","P387_Q601F","P387_Q601G","P387_Q601H","P387_Q602A","P387_Q602B","P387_Q602C","P387_Q602D","P387_Q602E","P387_Q602F","P387_Q602G","P387_Q602H","P387_Q603A","P387_Q603B","P387_Q603C","P387_Q603D","P387_Q603E","P387_Q603F","P387_Q603G","P387_Q603H","P387_Q604A","P387_Q604B","P387_Q604C","P387_Q604D","P387_Q604E","P387_Q604F","P387_Q604G","P387_Q604H","P387_Q605A","P387_Q605B","P387_Q605C","P387_Q605D","P387_Q605E","P387_Q605F","P387_Q605G","P387_Q605H","P387_Q606A","P387_Q606B","P387_Q606C","P387_Q606D","P387_Q606E","P387_Q606F","P387_Q606G","P387_Q606H","P387_Q607A","P387_Q607B","P387_Q607C","P387_Q607D","P387_Q607E","P387_Q607F","P387_Q607G","P387_Q607H","P387_Q608A","P387_Q608B","P387_Q608C","P387_Q608D","P387_Q608E","P387_Q608F","P387_Q608G","P387_Q608H","P387_Q609A","P387_Q609B","P387_Q609C","P387_Q609D","P387_Q609E","P387_Q609F","P387_Q609G","P387_Q609H","P387_Q610A","P387_Q610B","P387_Q610C","P387_Q610D","P387_Q610E","P387_Q610F","P387_Q610G","P387_Q610H","P387_Q611A","P387_Q611B","P387_Q611C","P387_Q611D","P387_Q611E","P387_Q611F","P387_Q611G","P387_Q611H","P387_Q612A","P387_Q612B","P387_Q612C","P387_Q612D","P387_Q612E","P387_Q612F","P387_Q612G","P387_Q612H"
"EGFP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ERCC-00002",3674,2458,2402,2313,3304,2198,2135,2464,1805,1946,1751,2532,2288,1947,1680,3117,2384,3223,3452,2420,3203,2265,4275,2346,2837,1807,2528,3923,2058,1515,1752,2841,2102,1549,1385,2226,1623,2351,3865,1632,722,1743,796,1721,31,2106,2888,2157,1402,1003,990,1960,2340,1985,1693,1967,1227,1348,2061,2200,2041,3004,1454,2110,2477,2194,2731,1933,1811,1930,2418,2830,1259,1716,2365,1469,2985,1413,1565,1061,1652,1849,1576,2611,3072,1676,1395,2311,1146,2347,1408,1407,2060,1517,1970,3
"ERCC-00003",0,131,4,0,136,0,1,0,196,0,23,32,0,0,54,12,13,404,110,52,389,0,116,216,0,194,114,0,0,271,280,1,0,0,101,0,228,1,12,163,101,115,88,4,0,164,162,44,5,1,316,18,121,2,80,115,132,76,67,2,108,462,96,0,25,83,128,33,0,228,2,268,0,44,30,122,75,0,22,0,24,0,0,43,5,1,83,80,7,78,0,0,1,115,185,0
"ERCC-00004",1629,910,1095,1218,2086,1691,1235,741,1216,1958,991,314,1281,1640,1550,2321,521,982,900,873,982,1484,1290,1057,1036,1559,925,896,635,970,771,738,978,651,1028,628,1149,1431,488,416,566,1043,802,1054,118,1503,735,1219,1047,723,800,943,557,677,895,983,569,795,496,653,687,812,662,1132,680,675,691,959,620,695,1065,778,613,581,943,786,658,839,412,1287,715,544,559,1030,931,251,1039,839,561,739,599,842,1248,984,1209,4
"ERCC-00009",0,0,111,0,25,160,2,127,364,101,0,46,0,0,0,0,0,0,1,285,0,254,0,325,3,141,22,0,330,0,8,79,21,1,184,0,160,155,175,14,0,1,154,1,0,227,118,0,0,0,193,0,129,0,16,0,203,83,0,48,236,1,0,36,138,122,0,29,161,182,98,112,82,177,177,56,0,130,372,0,91,30,1,118,155,0,130,0,7,210,45,75,0,131,2,0
"ERCC-00012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
"ERCC-00013",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
