"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P389_Q801A","01A_62862",11840,9990,8668,2010,1096,914,54.5273631840796,45.4726368159204,265,15,"62862_CB_facs_direct_Plate_1","01A"
"P389_Q801B","01B_62862",216971,180798,163202,95281,30362,64919,31.8657444821108,68.1342555178892,801,23,"62862_CB_facs_direct_Plate_1","01B"
"P389_Q801C","01C_62862",165573,140094,129836,75279,36721,38558,48.7798722087169,51.2201277912831,738,25,"62862_CB_facs_direct_Plate_1","01C"
"P389_Q801D","01D_62862",109961,93383,87403,51945,17451,34494,33.595148714987,66.404851285013,514,25,"62862_CB_facs_direct_Plate_1","01D"
"P389_Q801E","01E_62862",348134,319065,291567,169377,126835,42542,74.8832486110865,25.1167513889135,1453,21,"62862_CB_facs_direct_Plate_1","01E"
"P389_Q801F","01F_62862",465438,406845,373740,211956,140316,71640,66.2005321859254,33.7994678140746,1237,24,"62862_CB_facs_direct_Plate_1","01F"
"P389_Q801G","01G_62862",778815,699669,644440,367027,291715,75312,79.4805286804513,20.5194713195487,1721,32,"62862_CB_facs_direct_Plate_1","01G"
"P389_Q801H","01H_62862",4028,2787,1750,943,775,168,82.1845174973489,17.8154825026511,553,16,"62862_CB_facs_direct_Plate_1","01H"
"P389_Q802A","02A_62862",221744,129055,109302,68310,4818,63492,7.05314009661836,92.9468599033816,687,24,"62862_CB_facs_direct_Plate_1","02A"
"P389_Q802B","02B_62862",140681,104798,93160,56165,5274,50891,9.39018961987003,90.60981038013,502,28,"62862_CB_facs_direct_Plate_1","02B"
"P389_Q802C","02C_62862",225078,200362,183624,100663,61017,39646,60.6151217428449,39.3848782571551,1015,25,"62862_CB_facs_direct_Plate_1","02C"
"P389_Q802D","02D_62862",194849,176381,161521,98167,60978,37189,62.1165972271741,37.8834027728259,978,25,"62862_CB_facs_direct_Plate_1","02D"
"P389_Q802E","02E_62862",82628,69153,64496,40134,1526,38608,3.80226242089002,96.19773757911,178,25,"62862_CB_facs_direct_Plate_1","02E"
"P389_Q802F","02F_62862",722348,633578,572477,323963,242607,81356,74.8872556433914,25.1127443566086,1723,28,"62862_CB_facs_direct_Plate_1","02F"
"P389_Q802G","02G_62862",432084,370302,336936,195769,129299,66470,66.0467183261906,33.9532816738094,1190,23,"62862_CB_facs_direct_Plate_1","02G"
"P389_Q802H","02H_62862",198323,150411,129541,85365,42961,42404,50.3262461196041,49.6737538803959,896,20,"62862_CB_facs_direct_Plate_1","02H"
"P389_Q803A","03A_62862",501061,263188,210457,85639,14817,70822,17.301696656897,82.698303343103,1053,26,"62862_CB_facs_direct_Plate_1","03A"
"P389_Q803B","03B_62862",974251,849766,752373,401272,336914,64358,83.9615024222971,16.0384975777029,2126,27,"62862_CB_facs_direct_Plate_1","03B"
"P389_Q803C","03C_62862",145669,119572,107784,61556,25142,36414,40.8441094288128,59.1558905711872,812,24,"62862_CB_facs_direct_Plate_1","03C"
"P389_Q803D","03D_62862",394644,235631,183267,91204,58940,32264,64.624358580764,35.375641419236,1500,26,"62862_CB_facs_direct_Plate_1","03D"
"P389_Q803E","03E_62862",202610,168917,153844,87195,49355,37840,56.6030162279947,43.3969837720053,956,18,"62862_CB_facs_direct_Plate_1","03E"
"P389_Q803F","03F_62862",684564,603626,535958,280472,210214,70258,74.9500841438717,25.0499158561282,1731,21,"62862_CB_facs_direct_Plate_1","03F"
"P389_Q803G","03G_62862",153817,123073,109463,73619,13023,60596,17.689726836822,82.310273163178,620,23,"62862_CB_facs_direct_Plate_1","03G"
"P389_Q803H","03H_62862",274973,179514,135320,76559,19984,56575,26.1027442887185,73.8972557112815,816,25,"62862_CB_facs_direct_Plate_1","03H"
"P389_Q804A","04A_62862",408805,332935,301224,173580,101467,72113,58.4554672197258,41.5445327802742,1045,25,"62862_CB_facs_direct_Plate_1","04A"
"P389_Q804B","04B_62862",179349,159525,151692,86026,24086,61940,27.9985120777439,72.0014879222561,401,24,"62862_CB_facs_direct_Plate_1","04B"
"P389_Q804C","04C_62862",236438,189349,169070,97559,54070,43489,55.4228723131643,44.5771276868357,967,29,"62862_CB_facs_direct_Plate_1","04C"
"P389_Q804D","04D_62862",262305,232121,203778,125606,95483,30123,76.0178653885961,23.9821346114039,1490,25,"62862_CB_facs_direct_Plate_1","04D"
"P389_Q804E","04E_62862",247392,216913,200777,118223,86339,31884,73.0306285578948,26.9693714421052,1293,27,"62862_CB_facs_direct_Plate_1","04E"
"P389_Q804F","04F_62862",145903,127547,117208,72162,4107,68055,5.69136110418226,94.3086388958177,346,23,"62862_CB_facs_direct_Plate_1","04F"
"P389_Q804G","04G_62862",455375,306328,244630,141023,82542,58481,58.530877941896,41.469122058104,1139,30,"62862_CB_facs_direct_Plate_1","04G"
"P389_Q804H","04H_62862",363457,284686,252355,148797,87358,61439,58.7095169929501,41.2904830070499,1132,24,"62862_CB_facs_direct_Plate_1","04H"
"P389_Q805A","05A_62862",283488,240838,218880,126282,63416,62866,50.2177665858951,49.7822334141049,779,22,"62862_CB_facs_direct_Plate_1","05A"
"P389_Q805B","05B_62862",301508,258463,232304,147521,103768,43753,70.3411717653758,29.6588282346242,1179,24,"62862_CB_facs_direct_Plate_1","05B"
"P389_Q805C","05C_62862",214208,193360,176081,97307,61821,35486,63.5319144563084,36.4680855436916,981,21,"62862_CB_facs_direct_Plate_1","05C"
"P389_Q805D","05D_62862",349284,313836,287520,160804,123858,36946,77.0242033780254,22.9757966219746,1501,24,"62862_CB_facs_direct_Plate_1","05D"
"P389_Q805E","05E_62862",450501,403884,372920,217566,175205,42361,80.5295864243494,19.4704135756506,1782,25,"62862_CB_facs_direct_Plate_1","05E"
"P389_Q805F","05F_62862",599931,523723,470903,277632,210140,67492,75.690122176118,24.309877823882,1671,30,"62862_CB_facs_direct_Plate_1","05F"
"P389_Q805G","05G_62862",231122,180397,161905,94914,23584,71330,24.8477569167878,75.1522430832122,755,22,"62862_CB_facs_direct_Plate_1","05G"
"P389_Q805H","05H_62862",176192,153137,138803,77969,22935,55034,29.4155369441701,70.5844630558299,673,28,"62862_CB_facs_direct_Plate_1","05H"
"P389_Q806A","06A_62862",406055,311220,260878,156392,92254,64138,58.9889508414753,41.0110491585247,1173,24,"62862_CB_facs_direct_Plate_1","06A"
"P389_Q806B","06B_62862",1462860,562697,245498,101384,47371,54013,46.7243352008206,53.2756647991794,2490,45,"62862_CB_facs_direct_Plate_1","06B"
"P389_Q806C","06C_62862",72433,55707,45752,29605,2777,26828,9.38017226819794,90.6198277318021,259,19,"62862_CB_facs_direct_Plate_1","06C"
"P389_Q806D","06D_62862",244838,214183,192972,106947,75820,31127,70.894929264028,29.105070735972,1322,22,"62862_CB_facs_direct_Plate_1","06D"
"P389_Q806E","06E_62862",372491,341291,314033,183029,143066,39963,78.1657551535549,21.8342448464451,1496,23,"62862_CB_facs_direct_Plate_1","06E"
"P389_Q806F","06F_62862",391254,330763,297262,175867,114528,61339,65.1219387377962,34.8780612622038,1118,29,"62862_CB_facs_direct_Plate_1","06F"
"P389_Q806G","06G_62862",573125,462330,412923,244849,186172,58677,76.0354340838639,23.9645659161361,1622,22,"62862_CB_facs_direct_Plate_1","06G"
"P389_Q806H","06H_62862",108288,74519,60016,39942,5316,34626,13.3092984828001,86.6907015171999,463,25,"62862_CB_facs_direct_Plate_1","06H"
