"","P396_Q701A","P396_Q701B","P396_Q701C","P396_Q701D","P396_Q701E","P396_Q701F","P396_Q701G","P396_Q701H","P396_Q702A","P396_Q702B","P396_Q702C","P396_Q702D","P396_Q702E","P396_Q702F","P396_Q702G","P396_Q702H","P396_Q703A","P396_Q703B","P396_Q703C","P396_Q703D","P396_Q703E","P396_Q703F","P396_Q703G","P396_Q703H","P396_Q704A","P396_Q704B","P396_Q704C","P396_Q704D","P396_Q704E","P396_Q704F","P396_Q704G","P396_Q704H","P396_Q705A","P396_Q705B","P396_Q705C","P396_Q705D","P396_Q705E","P396_Q705F","P396_Q705G","P396_Q705H","P396_Q706A","P396_Q706B","P396_Q706C","P396_Q706D","P396_Q706E","P396_Q706F","P396_Q706G","P396_Q706H","P396_Q707A","P396_Q707B","P396_Q707C","P396_Q707D","P396_Q707E","P396_Q707F","P396_Q707G","P396_Q707H","P396_Q708A","P396_Q708B","P396_Q708C","P396_Q708D","P396_Q708E","P396_Q708F","P396_Q708G","P396_Q708H","P396_Q709A","P396_Q709B","P396_Q709C","P396_Q709D","P396_Q709E","P396_Q709F","P396_Q709G","P396_Q709H","P396_Q710A","P396_Q710B","P396_Q710C","P396_Q710D","P396_Q710E","P396_Q710F","P396_Q710G","P396_Q710H","P396_Q711A","P396_Q711B","P396_Q711C","P396_Q711D","P396_Q711E","P396_Q711F","P396_Q711G","P396_Q711H","P396_Q712A","P396_Q712B","P396_Q712C","P396_Q712D","P396_Q712E","P396_Q712F","P396_Q712G","P396_Q712H"
"ERCC-00002",6480,6101,6475,7420,4690,6627,5267,3947,6417,5525,5418,6743,5902,6304,6637,6998,6847,7096,6399,5785,5827,6185,5477,5030,4058,5178,5861,6442,6565,5383,4674,6260,6212,6484,5193,6614,5022,5455,5240,6127,6034,4913,7455,4987,6393,5590,5211,5405,6063,5833,6754,6793,5728,4715,7106,4898,4540,5420,5586,7256,5659,5385,5187,4781,6849,5196,5730,5798,6577,5191,5728,3302,4540,3770,6237,7452,4717,5020,5071,5472,6353,5020,4430,5822,6130,4805,4640,4650,4479,4530,5741,4840,5003,4762,4162,3415
"ERCC-00003",865,556,536,523,275,397,475,272,534,702,425,420,427,710,231,44,1321,537,469,829,625,715,199,387,152,881,392,283,540,295,529,517,260,178,629,366,198,783,161,359,429,447,199,1074,499,653,451,369,587,474,769,721,131,340,240,624,216,891,691,595,277,285,313,514,287,392,325,636,216,565,450,314,202,615,374,484,232,379,505,234,304,726,304,589,216,323,115,344,216,240,331,351,487,393,256,382
"ERCC-00004",2876,3123,3181,3539,3532,3542,2659,1949,3746,3993,3405,3108,3414,2649,2889,2320,5075,3048,2668,2696,3804,2542,2547,2253,2965,3576,4264,3182,2904,2445,2625,3205,2698,3271,3045,2399,3319,3457,3610,2970,3292,2691,3349,3430,3302,2971,3513,2530,3255,3591,3500,2882,3061,2434,3278,1632,3443,3041,3073,3273,2955,3150,2942,2833,3577,2011,2230,4175,3818,3259,1903,2657,2050,2851,3043,3232,2248,3265,2730,2398,3356,2999,2371,3645,3602,2909,2019,2448,1911,2193,3432,3317,2538,2468,2892,2269
"ERCC-00009",220,246,310,258,473,261,193,12,349,398,636,326,54,314,265,113,538,409,98,172,251,260,92,255,126,788,169,513,131,16,192,353,374,209,561,134,69,152,404,531,241,559,260,239,172,380,83,225,0,326,110,268,271,89,252,193,523,107,226,251,345,6,239,175,339,368,223,420,131,210,153,803,1,150,174,481,196,387,237,521,103,558,118,58,381,387,131,402,226,404,452,195,133,180,297,7
"ERCC-00012",0,0,7,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",0,0,0,0,0,0,0,0,1,0,0,59,0,1,65,1,70,1,0,0,0,1,0,0,0,0,0,0,1,0,52,0,12,0,0,0,39,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,68,0,93,58,0,0,0,39,5,0,0,0,0,0,19,0,0,0,0,11,0,0
"ERCC-00022",0,228,109,120,83,73,0,0,16,83,89,106,72,130,0,61,348,161,12,25,0,62,87,0,91,88,33,191,84,0,115,151,62,142,101,85,146,0,0,43,504,0,71,0,0,63,81,131,77,62,89,85,138,0,84,0,68,72,103,186,26,0,110,74,52,86,144,10,39,67,67,72,96,0,80,0,84,0,176,185,83,69,79,0,121,0,145,1,0,80,81,22,210,2,72,0
"ERCC-00024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00025",0,0,1,7,0,0,0,26,60,52,0,0,0,0,0,0,60,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,23,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,156,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,47,37,0,35,0,0,0,0,35,0,22,52
"ERCC-00028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"ERCC-00031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00033",0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00034",0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,26,0,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00035",0,0,0,0,36,75,0,0,0,95,0,76,0,0,0,70,0,29,1,0,0,0,0,0,0,0,89,81,65,71,21,0,2,74,0,0,0,0,60,0,1,0,0,0,0,121,0,0,1,0,0,0,0,53,0,0,0,0,0,0,0,100,0,0,0,7,0,0,163,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,95,0,0,0,0,0,127,0,0,0,0
"ERCC-00039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00042",148,60,89,86,178,135,181,110,336,297,160,586,288,0,205,150,219,163,263,90,207,291,256,0,15,128,108,201,102,274,226,75,44,0,218,1,40,25,504,143,202,60,196,3,2,8,54,502,226,216,238,388,198,232,171,130,257,376,120,165,103,127,388,140,88,123,236,427,106,275,148,183,131,458,245,7,6,87,1,86,255,62,94,13,155,286,201,115,195,59,91,14,132,195,27,72
"ERCC-00043",212,347,324,353,405,97,403,136,196,126,196,267,10,558,90,502,214,216,588,464,181,574,212,194,172,134,333,146,327,557,405,237,226,277,457,116,268,236,536,479,257,381,113,399,393,771,382,514,341,282,412,519,386,260,9,261,427,690,114,296,247,91,122,261,554,162,326,212,277,234,222,508,290,132,112,582,150,156,362,63,29,484,72,384,161,257,251,192,251,103,429,183,479,347,376,77
"ERCC-00044",112,0,64,158,0,29,0,0,0,56,84,0,0,86,0,99,0,0,0,65,72,0,0,93,0,49,0,0,0,62,0,70,2,1,46,0,0,0,61,0,8,0,0,75,2,0,0,0,0,0,0,0,0,0,0,81,0,11,0,0,0,122,0,6,0,0,71,31,4,0,3,0,0,6,0,9,67,0,0,0,0,47,0,152,0,89,0,0,0,0,0,0,177,0,0,0
"ERCC-00046",2061,1440,2022,2344,2263,1204,1442,1704,2306,1429,1876,1473,1276,1142,1951,1370,1422,1456,2534,1566,2026,1780,1796,1562,2297,1887,1052,2566,1800,1363,1106,774,1153,1747,2161,1171,1768,1137,1483,2142,1047,1233,1911,1404,1889,804,1188,1554,2578,2103,1968,1879,1292,1723,1612,890,1400,1505,2319,1473,1797,1791,1552,1412,1414,1317,1283,1841,2018,1262,1194,1122,1543,1993,1753,1695,1193,1690,1628,2282,1673,1527,753,1089,1586,1492,1458,728,991,1712,1641,1224,1450,1766,962,1813
"ERCC-00048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00051",0,6,0,0,0,21,24,13,6,13,0,28,0,0,3,6,13,0,0,0,24,0,0,0,9,0,0,0,8,12,2,0,1,0,8,9,0,10,9,0,0,0,0,1,0,0,5,0,0,0,0,41,0,0,0,0,0,8,0,0,0,0,18,9,14,0,0,0,11,0,15,0,0,15,21,14,0,0,0,13,0,12,0,5,0,0,0,0,0,4,1,5,14,4,7,1
"ERCC-00053",0,0,100,0,0,37,1,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,61,3,0,0,0,76,0,1,91,0,0,74,0,0,0,0,0,77,23,0,0,59,73,0,0,0,0,0,0,0,0,0,92,0,0,1,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00054",0,0,0,0,0,0,0,0,12,0,0,0,0,1,1,15,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,13,1,0,6,12,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
"ERCC-00057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00058",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,55,0,0,70,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00060",281,218,200,56,102,187,209,134,339,173,185,377,153,114,170,311,121,268,128,258,302,197,52,190,74,199,168,424,403,78,108,231,187,52,183,149,73,365,381,59,283,105,165,316,172,136,211,77,95,157,190,185,103,146,50,114,166,382,349,447,234,306,184,86,252,224,165,129,294,58,117,211,106,340,321,138,234,180,296,139,62,109,309,286,218,225,157,268,2,51,271,93,5,159,142,57
"ERCC-00061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ERCC-00062",2,1,2,0,321,0,50,80,0,0,9,219,36,80,10,0,134,0,76,0,0,95,0,0,12,0,91,13,0,1,30,0,15,0,124,114,90,0,96,0,0,6,0,74,8,9,0,0,0,82,0,1,0,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,114,0,0,87,81,69,0,0,0,0,0,109,0,0,33,0,0,0,57,0,89,0,0,0,67,0,4
"ERCC-00067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ERCC-00071",0,0,0,20,69,79,0,0,2,82,24,1,0,143,21,1,0,0,76,77,0,26,0,126,0,0,73,0,0,0,0,0,2,0,0,1,0,142,0,0,0,0,74,115,66,0,23,79,80,57,97,59,73,67,80,78,2,0,75,37,5,0,0,0,53,0,0,65,153,0,0,64,0,76,0,67,54,151,0,75,0,0,17,135,68,0,0,63,0,0,0,0,0,23,0,0
