"","P396_Q701A","P396_Q701B","P396_Q701C","P396_Q701D","P396_Q701E","P396_Q701F","P396_Q701G","P396_Q701H","P396_Q702A","P396_Q702B","P396_Q702C","P396_Q702D","P396_Q702E","P396_Q702F","P396_Q702G","P396_Q702H","P396_Q703A","P396_Q703B","P396_Q703C","P396_Q703D","P396_Q703E","P396_Q703F","P396_Q703G","P396_Q703H","P396_Q704A","P396_Q704B","P396_Q704C","P396_Q704D","P396_Q704E","P396_Q704F","P396_Q704G","P396_Q704H","P396_Q705A","P396_Q705B","P396_Q705C","P396_Q705D","P396_Q705E","P396_Q705F","P396_Q705G","P396_Q705H","P396_Q706A","P396_Q706B","P396_Q706C","P396_Q706D","P396_Q706E","P396_Q706F","P396_Q706G","P396_Q706H","P396_Q707A","P396_Q707B","P396_Q707C","P396_Q707D","P396_Q707E","P396_Q707F","P396_Q707G","P396_Q707H","P396_Q708A","P396_Q708B","P396_Q708C","P396_Q708D","P396_Q708E","P396_Q708F","P396_Q708G","P396_Q708H","P396_Q709A","P396_Q709B","P396_Q709C","P396_Q709D","P396_Q709E","P396_Q709F","P396_Q709G","P396_Q709H","P396_Q710A","P396_Q710B","P396_Q710C","P396_Q710D","P396_Q710E","P396_Q710F","P396_Q710G","P396_Q710H","P396_Q711A","P396_Q711B","P396_Q711C","P396_Q711D","P396_Q711E","P396_Q711F","P396_Q711G","P396_Q711H","P396_Q712A","P396_Q712B","P396_Q712C","P396_Q712D","P396_Q712E","P396_Q712F","P396_Q712G","P396_Q712H"
"EGFP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0
"FBgn0000008",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000017",0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,12,55,0,0,0,0,0,0,28,0,0,67,85,130,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,69,0,0,0,0,0,81,0,0,0,0,93,8,0,0,55,0,0,0,0,0,73,0,18,0,0,0,0,0,0,71,0,0,45,0,0,0,0,0,0,0,0,0,113,21,0,0,0,86,0
"FBgn0000018",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000024",1,167,1,2,64,1,1,463,1,0,80,61,2,0,0,275,310,1,1,237,243,491,0,0,47,0,117,169,469,161,0,1,148,1,224,110,28,160,39,2,87,0,580,1,69,418,0,22,230,66,3,1,418,373,0,1,0,10,365,8,399,2,0,8,0,51,0,481,393,280,0,15,33,1,223,705,38,0,2,257,409,0,1,331,171,1,1,0,33,427,17,0,264,0,315,1
"FBgn0000028",1,1,1,1,0,1,1,0,3,0,1,0,5,0,1,0,0,0,3,2,0,0,0,0,0,2,1,3,1,1,2,1,6,3,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,2,0,0,0,0,1,0,1,1,0,1,0,3,2,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"FBgn0000032",0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
"FBgn0000036",0,60,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,6,0,0,0,36,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FBgn0000037",0,137,1,0,56,0,0,89,0,0,0,35,0,0,0,3,55,0,0,216,0,334,1,0,0,0,0,106,108,73,0,0,237,0,12,136,112,0,147,0,0,0,138,0,65,0,0,1,0,136,0,0,17,119,0,0,0,118,171,13,169,0,0,1,0,0,0,0,1,0,0,0,0,0,0,81,0,0,11,107,263,0,0,117,253,0,0,0,44,141,56,0,53,0,2,0
"FBgn0000038",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,155,0,79,0,80,91,28,70,171,91,97,0,70,94,0,1,0,1,0,0,0,16,0,103,1,87,64,129,82,111,0,6,6,50,56,1,0,1,230,0,30,0,0,0,0,1,87,0,10,42,25,0,0,4,1,0,462,144,0,0,0,278,0,0,96,0,0,18,0,32,7,128,0,72,1,32,0
"FBgn0000039",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000042",0,1,1,0,79,0,0,156,0,0,0,103,0,0,0,0,1,0,0,137,0,259,0,74,0,0,0,0,575,4,1,4,43,0,0,76,240,0,0,0,1,0,210,0,3,66,18,122,52,0,2,9,246,112,0,46,0,50,125,5,117,34,1,0,0,28,0,369,310,0,0,42,1,0,0,327,0,0,2,416,146,5,0,425,121,0,0,203,0,263,68,0,3,0,361,2
"FBgn0000043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,48,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
