,SS02232_35c_r14,SS02232_35c_r09,SS02232_35c_r05,SS02232_35c_r02,SS02232_35c_r04,SS02232_35c_r13,SS02232_35c_r12,SS02232_35c_r03,SS02232_35c_r06,SS02232_35c_r10,SS02232_35c_r08,SS02232_35c_r01,SS02232_35c_r07,SS02232_35c_r11,SS00238_r6,SS00238_r3,SS00238_r2,SS00238_r4,SS00238_r1,SS00238_r7,SS00238_r5,50pg_CBqRNA_r3,50pg_CBqRNA_r5,50pg_CBqRNA_r1,50pg_CBqRNA_r2,50pg_CBqRNA_r6,50pg_CBqRNA_r4,50pg_CBqRNA_r7,50pg_CBqRNA_r8
EGFP,1.428538776,3.870995214,0.60642299,1.191702651,1.156660398,0.403383093,1.635211199,0.595560336,0.447438304,2.078192405,0,0.460878342,0.469523246,2.278431637,1.175496372,1.252709375,1.732094616,0.779482817,1.202892523,0.822324465,2.103341921,0,0,0,0,0,0,0,0
ERCC-00002,6938.412836,8609.093355,12913.17114,11183.53353,11819.9126,9742.911853,9819.44325,11733.13418,8004.671256,8795.325896,11722.85142,9212.497177,10395.24467,11930.32374,1231.920198,1182.035688,921.1444131,1162.468708,718.9287649,1515.426513,1242.54924,1022.892174,591.720664,991.5466993,1198.383704,976.6650451,969.2804759,765.3424226,620.6646
ERCC-00003,186.6624001,936.1356758,585.1981851,311.6302433,609.5600295,477.2021994,482.0602615,346.6161155,297.5464721,507.4945853,456.9383976,197.2559304,184.992159,641.1506627,78.43766701,85.39302243,74.56254919,63.65776339,22.53418661,78.12082413,79.13823978,61.83154187,43.87630052,116.8434736,47.74161408,61.6107955,45.13051951,69.15344218,41.42291094
ERCC-00004,1625.677127,1906.465143,3825.316219,2913.117131,3259.469,2245.633681,1889.977104,3009.366377,2037.634036,1973.035869,2796.0652,3186.512856,2559.371214,1982.691211,479.7093831,395.3342004,493.6469656,396.3670125,350.8436527,554.8340637,484.4697558,193.8915017,106.0343929,289.6744449,223.4861065,227.1563243,205.1387251,141.6315691,113.403707
ERCC-00009,393.8005227,172.259287,596.7202219,481.4478711,473.0741026,467.5210052,593.9087075,197.1304712,298.888787,438.0829589,583.0806127,333.6759196,432.4309097,1124.633856,77.79648717,55.01482007,48.58112995,42.87155494,35.92639003,19.26588746,28.65803368,58.7781324,17.06300576,88.44401818,95.48322816,72.32571645,115.9033797,58.51445107,42.78103917
ERCC-00012,0,0,0,0,0,0,0,0,1.789753215,0,0,0,0,0,0.213726613,0,0,0,0.962314019,0,0,0,0,0.811413011,0,0,0,0,0
ERCC-00013,0.476179592,0,0,0,0,0,0,0,0,0,0,0,0,79.7451073,0,0,0,0,0,0,0.087639247,0,0,9.73695613,0,0,0,0,0
ERCC-00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104392448,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00019,0,0,1.212845979,0.595851326,0.578330199,78.6597032,0,38.71142183,0,0,0,0.921756684,0,0,0.534316533,0.104392448,0,5.001681409,6.736198131,0,0,2.290057106,0,4.868478065,0,0,6.154161752,0,0
ERCC-00022,198.5668899,136.7751642,114.6139451,91.76110414,182.1740126,33.88417984,103.3453478,269.1932718,99.77874176,71.07418025,98.40139604,72.35789969,0,115.2886408,8.442201217,18.26867839,17.56838825,6.105948734,6.014462617,3.171822935,12.09421605,12.97699027,10.96907513,0,13.14624156,0,15.38540438,4.654558608,21.73005164
ERCC-00024,0.476179592,0.645165869,1.819268969,0,0,1.21014928,0,1.786681008,2.237191519,0,1.046823362,0,0.939046492,0.455686327,0.961769759,0.835139584,1.154729744,0.519655211,0.240578505,1.292224159,0.964031714,0,0,0,1.383814901,1.607238143,1.025693625,0.664936944,2.037192342
ERCC-00025,0,0,0,1.787553977,1.734990596,0,0,0,25.50398332,0,0,0,0,77.46667566,0,3.966913022,1.319691136,0,5.934269782,4.816471864,5.87182953,0,3.046965314,0,0,0,0,0,0.679064114
ERCC-00028,0.476179592,0,0,0,0,0,0,39.30698217,0,0,0,0,0,0,0,0,0.907287656,0,0.16038567,0,0.175278493,0,0,0,0,0,0,0,0
ERCC-00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064956901,0,0,0,0,0,0,0,0,0,0,0
ERCC-00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00034,0,1.935497607,0,48.8598087,0,0,0,0,0,0,22.50670229,0,0,0,0,0,0.164961392,0.129913803,0,0,8.501006931,8.396876057,0,0,0,0,10.25693625,0,0
ERCC-00035,0.476179592,0,0,0,0,0,0,0,35.79506431,0,39.25587608,41.01817243,0,60.15059522,0,0,8.413030993,0,0,0,0.78875322,6.870171319,6.093930628,0,4.151444703,5.893206526,0,0,7.469705252
ERCC-00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.415426792,0,0,0,0,0,6.919074505,0,0,0,0
ERCC-00040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00042,23.33280001,3.225829345,45.48172423,128.7038863,153.2575027,184.7494567,51.67267389,195.9393505,134.6789295,118.4569671,82.17563393,195.8732953,58.69040576,142.1741342,32.80703511,32.04848152,16.08373572,33.06306282,11.78834673,37.12207583,24.27607134,29.00739001,0.609393063,27.58804237,37.36300232,6.964698621,9.231242628,29.25722554,4.753448797
ERCC-00043,4.761795921,79.35540188,259.5490396,109.6366439,314.0332979,29.85034891,404.2242084,294.8023663,48.77077512,167.0866694,362.724295,334.5976763,213.633077,598.3161479,43.60022907,31.00455704,30.84778031,36.3758648,42.34181683,54.86078928,49.51617439,17.55710448,0,34.07934646,37.36300232,17.67961958,23.59095338,7.314306384,19.6928593
ERCC-00044,0,28.38729823,35.1725334,48.8598087,79.80956743,0,0,47.64482687,8.948766077,0,33.49834759,0,52.11708032,0.455686327,5.236302021,0,0,0,9.382561683,4.933946787,0,7.633523688,0,6.491304087,0,0,0,0,0
ERCC-00046,1077.118237,1008.394253,2541.51875,2206.437459,2280.934304,1002.406987,1324.194029,1870.059455,1259.538825,1343.759209,2115.630015,1320.877328,1477.120132,1542.953905,273.2494748,164.8356753,260.3915573,209.7458347,214.9969904,286.1689137,208.8443249,119.0829695,100.5498554,135.5059728,101.0184878,122.6858449,125.1346223,88.43661356,87.59927069
ERCC-00048,0,0,0,0,0,0,0,0,0,0,0,0,0.469523246,0,0,0.104392448,0.082480696,0.259827606,0,0,0,0,0,0,0,0,0,0,0
