fastq	total_reads	trimmed_reads	q30_bc_umi	q30_cDNA	uniq_aln_read_num	nUnmapped	nNoFeature	nAmbigFeature	nAmbigFeatureMultimap	nTooMany	nNoExactMatch	nExactMatch	nMatch	nCellBarcodes	nUMIs	map2txome	saturation	sum_all_count	yield_ratio
Sample_3_Q5_01_pool	20479243	19693339	0.944774	0.870421	17664666	978496	2934799	473099	221215	0	0	14546135	14770071	358	4046444	0.750003	0.726038	4032186	0.196891
Sample_3_Q5_02_pool	22615424	22021595	0.945104	0.878144	20184174	937952	2714397	540268	213352	0	0	17072495	17329476	365	3600980	0.786931	0.792205	3580592	0.158325
Sample_3_Q5_4	15380185	14216333	0.894894	0.813829	12251331	1143431	1892603	352818	163143	0	0	10119231	10481218	354	2675963	0.737266	0.74469	2653829	0.172549
Sample_3_Q5_5	15755652	15395443	0.89013	0.806283	13796424	1007297	1195347	336039	111840	0	0	12014810	12459527	351	3165561	0.8093	0.745932	3143657	0.199526
Plate_386_Q5	31605174	30201145	0.879854	0.765424	17733229	10381762	2697998	869078	639945	0	0	14949971	15480081	384	8498417	0.512566	0.45101	8475868	0.26818
Plate_387_Q6	40515590	34485739	0.875297	0.752524	20611125	9988327	6531770	817178	533890	0	0	15452433	16011687	384	7421641	0.464299	0.536486	7406853	0.182815
Plate_388_Q7	23196587	22095474	0.878909	0.768868	16039483	4677622	2308159	598739	422780	0	0	13549952	14034742	384	6617580	0.635186	0.528486	6606881	0.284821
Plate_389_Q8	37812193	35993956	0.879477	0.773953	28869246	4790179	4241222	984432	617515	0	0	24370822	25194933	384	10662940	0.699977	0.576782	10638863	0.281361
Plate_390_Q5	43173981	42264961	0.884891	0.790812	37100566	3471044	2895234	1031332	620043	0	0	33030153	34166510	384	11043875	0.808389	0.676763	11016097	0.255156
Plate_391_Q6	17943302	17462464	0.872362	0.763774	14998241	1793395	1554343	377016	174569	0	0	12892044	13387554	384	7965058	0.766647	0.40504	7952735	0.443215
Plate_392_Q7	29592191	28750512	0.882114	0.777205	23755246	3264058	2874358	1169721	834412	0	0	20103817	20853353	384	6807739	0.725321	0.673542	6792836	0.229548
Plate_393_Q8	33320779	31756801	0.881414	0.777567	26481830	3460261	3579745	847889	508197	0	0	22503183	23238808	384	11476806	0.731774	0.506136	11451788	0.343683
Plate_394_Q5	37018695	35873384	0.879749	0.773373	23112270	11120749	2909792	397551	209126	0	0	20026024	20753221	384	11536030	0.578513	0.444133	11515386	0.311069
Plate_395_Q6	37072739	36210160	0.878926	0.772482	8459462	26524011	1471858	266514	186245	0	0	7071343	7325726	383	5013519	0.202311	0.315628	5003237	0.134957
Plate_396_Q7	32987883	29954849	0.876105	0.757852	14559464	12743407	3589715	689074	556398	0	0	11740759	12161244	384	6187396	0.405986	0.49122	6176859	0.187246
Sample_Q6_Pool_01	100167485	97063584	0.952922	0.86645	86944084	6337252	11378711	2648568	1093702	0	0	74733882	75501081	378	7754697	0.777852	0.89729	7707386	0.076945
