"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0052105",-9.36255072437226,7.00613291178633,210.959603482348,4.26308687144016e-11,7.4915225591818e-07,247.75471605642,0.0856033940579152,1,0.75
"FBgn0266872",8.66659701641045,7.31575109103774,148.406974496114,6.82197114397217e-10,3.30142465919852e-06,0.453709600268847,308.915038448819,0.25,1
"FBgn0034808",8.82973949937876,8.30586971023628,147.256746285327,7.24647967024086e-10,3.30142465919852e-06,1.07872464871194,622.589139537362,0.75,1
"FBgn0034638",8.06506394770779,6.97216116876868,146.567944040689,7.51476619632054e-10,3.30142465919852e-06,0.605581134252516,241.238783816128,0.75,1
"FBgn0033358",5.97340415610966,7.76858205195351,109.765327179203,6.82814151835676e-09,2.35142547938064e-05,6.45278902917485,420.370267819685,1,1
"FBgn0038532",-5.02783425123791,6.86551775541254,107.418223626121,8.02853973498198e-09,2.35142547938064e-05,217.535519493756,6.39740786001025,1,1
"FBgn0050361",-8.02895334105881,5.78868210502881,104.495596102681,9.86528612213423e-09,2.47660961463235e-05,101.217517346986,0.100725800899136,1,0.75
"FBgn0010414",-8.77990633685131,6.27009623932609,98.8754327028603,1.48741437873166e-08,3.26729160968144e-05,145.023610978875,0.0412441916100725,1,0.5
"FBgn0265487",-4.37261692571835,8.26902487883737,91.0861203832902,2.71995878803533e-08,5.31087064246055e-05,579.95618249213,27.7385046673203,1,1
"FBgn0261649",-4.25520593931541,6.8919507894658,89.0960003442507,3.19590785820183e-08,5.61616887921808e-05,217.190206869978,11.0726414113515,1,1
"FBgn0029123",-8.02845699271856,5.4803832271439,87.6631141367393,3.59619473761386e-08,5.74508455673531e-05,80.0124694158067,0.0177313106844484,1,0.5
"FBgn0005677",7.89465373431716,5.52378303392194,83.3622356853134,5.17648255491585e-08,7.10116115582921e-05,0.0589638459027004,82.6850461586556,0.5,1
"FBgn0029922",4.93189567227304,6.77804642418698,83.1922515040609,5.25323479347748e-08,7.10116115582921e-05,6.39459795190524,203.827857456101,1,1
"FBgn0004102",-7.875974464291,5.36806126889553,81.5075221423118,6.08664649245112e-08,7.64004562941739e-05,73.2910745595373,0.0234390879787844,1,0.75
"FBgn0029920",7.84579984926912,5.38996117800786,80.7220427252294,6.52488820026193e-08,7.64412402288019e-05,0.0355749952086411,74.5446731384077,0.25,1
"FBgn0040823",6.18015391563656,6.55634960116365,79.7510711546099,7.1160579220733e-08,7.81565536653713e-05,2.16782351349897,176.779601790969,0.75,1
"FBgn0034636",3.93200402759526,7.58902658212932,77.6437651830146,8.61626154383373e-08,8.90668024175236e-05,22.8830985281275,352.940442366029,1,1
"FBgn0085380",-6.04815839066825,6.3293807200431,74.6972069045495,1.13416607056264e-07,0.000110726113099985,149.604324704462,1.97117334226756,1,1
"FBgn0004607",-4.4220834623262,6.50482491115878,73.8277390742053,1.23207950078622e-07,0.000113383304168247,164.904145791514,7.45547805985628,1,1
"FBgn0000180",-6.61920631535296,5.67129332023267,72.9762663022174,1.33719788588353e-07,0.000113383304168247,92.0411896933822,0.626819452998975,1,1
"FBgn0038295",7.69056579937491,5.25212431781567,72.8398849806496,1.35494758295863e-07,0.000113383304168247,0.0349193696519051,66.8977596817377,0.5,1
"FBgn0266750",-5.97937987074843,7.31167467386769,71.1426745734254,1.59932113084342e-07,0.00012774941014687,303.866051590104,4.58284977129025,1,0.75
"FBgn0045038",-6.32173809797648,7.63783534188715,70.3602004130255,1.7282650961493e-07,0.000132046967541877,384.558332788354,4.54346881175556,1,1
"FBgn0051814",-6.75078837382854,5.28351633667662,64.5414754885574,3.14806977669835e-07,0.000230504292441334,68.2796924177099,0.346083008103906,1,0.75
"FBgn0029939",4.9841700593,5.73130141670893,64.0510131679446,3.31780405860806e-07,0.000233215082887678,2.68217026478366,94.2734939352563,1,1
"FBgn0019650",5.92586416069563,7.30437740410634,61.8952061052721,4.19549659818139e-07,0.000274728127805165,4.68656912032732,302.186456461536,1,1
"FBgn0033403",-6.31848995607958,5.4630535350164,61.5527541669073,4.35747721969352e-07,0.000274728127805165,78.2531552850041,0.697539635143018,1,1
"FBgn0026411",6.1374767750449,5.81561039954757,61.5116386599399,4.3773900748561e-07,0.000274728127805165,1.18369126601412,102.172877293892,1,1
"FBgn0039816",-6.02564284683927,6.11282398303323,61.1896044705152,4.53691783222865e-07,0.000274921576088807,127.450323424685,1.69205839367199,1,0.75
"FBgn0083942",-8.06874722564993,5.58791061968418,57.1049556217764,7.24074502935446e-07,0.00042413870800282,86.9747474478957,0.0331826619264128,1,0.25
"FBgn0260003",3.15746043912016,7.24026170284682,55.7693458810493,8.48481446538448e-07,0.000480979498710327,29.3163859399809,263.798279257133,1,1
"FBgn0266137",6.17833142219661,5.40900280393879,54.8714846797927,9.45493895747172e-07,0.000505518222924674,0.757787803518284,74.9596843985176,1,1
"FBgn0036454",7.14197600615979,5.11025534812426,54.8383572578481,9.49302985063122e-07,0.000505518222924674,0.135164309280932,59.6775649089199,0.5,1
"FBgn0265002",5.87274714205939,5.10610352519797,52.7889621887803,1.22194137984161e-06,0.000627135693494282,0.727768722437781,58.864035972507,1,1
"FBgn0038641",4.64217839004604,6.58193089918597,52.6136098109095,1.24906101816991e-06,0.000627135693494282,6.79338729743535,175.552160867361,1,1
"FBgn0270928",4.77914808882887,7.2685528743943,51.6416545023749,1.41212345621025e-06,0.000689312374888411,10.3007828205127,288.82519053121,1,1
"FBgn0040726",6.67216430026791,4.95496300249466,50.5115393665099,1.63232892732454e-06,0.000775268006483084,0.228697728987669,52.5404450441819,0.75,1
"FBgn0052017",-2.7295580979098,7.56475948678153,50.2623753769523,1.68588413257781e-06,0.000779632680573416,321.184814452208,48.2145114847662,1,1
"FBgn0085399",5.70633904407425,5.48900076979831,49.2779601611753,1.9175272932763e-06,0.000864018131403704,1.24494933377501,79.2839709107952,1,1
"FBgn0034286",5.39613608611128,5.60445816285861,49.0310020468253,1.98107700241999e-06,0.00087033665408816,1.77308757337116,86.2618232338271,0.75,1
"FBgn0034731",4.65708456203437,6.34806992082723,48.1746092174275,2.22037296817662e-06,0.000951673516335799,5.60887149093823,148.051112247357,1,1
"FBgn0008636",-7.03526263844576,4.68990599704839,47.9280575587974,2.29512802799397e-06,0.000958332404454967,42.3290990539951,0.0350479425479172,1,0.25
"FBgn0004244",2.51729150549216,9.17906381881172,47.7685796537822,2.34497771533395e-06,0.000958332404454967,170.848476166373,979.19927361668,1,1
"FBgn0015774",4.07474367539408,5.70637723392653,46.7031082033965,2.71076890224952e-06,0.00106604272885382,5.03814711869935,90.0926799497365,1,1
"FBgn0051721",6.37655329655002,5.15537448342857,46.6519660278394,2.72986529325794e-06,0.00106604272885382,0.448723614170824,61.5847171347893,0.5,1
"FBgn0013673",-4.46758733673815,6.83606684163966,46.4073304899201,2.82331457089119e-06,0.00107856754248415,209.977253255821,9.27178626391434,1,0.75
"FBgn0265163",6.22623050620794,7.90420982787443,46.230011225631,2.89328298696202e-06,0.00108178004106135,5.93781052000769,463.914173209339,1,1
"FBgn0267062",-7.71052435118072,5.12427562849221,54.7464495533706,3.05764220753227e-06,0.00111941555235343,60.4788798819858,0,1,0
"FBgn0267955",-7.85448975428542,5.25056868659263,54.2254250740794,3.22977591333164e-06,0.00115830310459136,66.8322654849782,0,1,0
"FBgn0033159",2.80152043994747,6.96493474964296,44.2088506554865,3.84390908099556e-06,0.00134563458548976,29.9336615793488,210.63126480617,1,1
"FBgn0037153",2.96769203818757,6.56954883454804,44.0981371909692,3.90527308143048e-06,0.00134563458548976,20.277347491756,160.405299441964,1,1
"FBgn0261574",2.96320055963456,6.79765300813965,43.6747997030413,4.15021071737221e-06,0.00140253178723811,24.0299735396127,189.208186550719,1,1
"FBgn0040752",-2.45090481038884,7.5191894175972,43.1249262833068,4.49436457355044e-06,0.00149017865379249,302.514970685074,55.1252226636519,1,1
"FBgn0033250",3.01829633023082,7.83677291639669,42.5104561554896,4.91717785382171e-06,0.00160017715602239,49.017210604281,398.953865346231,1,1
"FBgn0004622",-6.11084084381662,5.01691373282994,41.9271932077365,5.35999034881666e-06,0.00171256564363191,54.9493732291788,0.514243830113275,1,0.75
"FBgn0011582",4.53653526047179,6.6941091987228,41.1200755679343,6.04804909914084e-06,0.00186791364270624,7.83732579452952,189.892010794144,0.75,1
"FBgn0264442",-4.32852554157038,5.4198868614694,41.1083049420197,6.05878777865224e-06,0.00186791364270624,72.9842214276689,3.37234456314741,1,1
"FBgn0028979",-5.54196077866108,4.80044971348927,40.4705735658622,6.67372772624641e-06,0.00202202443678152,45.7796109342139,0.696320475805937,1,1
"FBgn0265420",6.21298010850111,4.67685592965004,40.091846370732,7.07175448349913e-06,0.00210630409387339,0.275352905165827,41.5819091403947,0.5,1
"FBgn0027608",3.13000659380304,6.59780073433682,39.6407708851091,7.5808191220835e-06,0.00222029557387289,18.6340912985774,165.804686426174,1,1
"FBgn0000303",4.9905454136955,5.85296555834196,39.3682154239069,7.90818972700475e-06,0.00227820685365007,2.97025348808909,103.314221493861,1,1
"FBgn0266348",6.51390643932988,4.67732416104596,38.8218410487452,8.61310927489517e-06,0.00244126079496343,0.169532798804048,41.6553212794199,0.5,1
"FBgn0050089",2.69936135154419,6.81120932223892,37.7545275329726,1.02020259739564e-05,0.00284571749905294,28.5372668141093,186.792627564611,1,1
"FBgn0264815",3.27717372385006,6.21890019795803,37.603884488178,1.04515931075223e-05,0.00286977883872641,12.8505904085341,126.80747851303,1,1
"FBgn0267337",-6.16503067469081,4.73301736660005,37.2695842897463,1.10301534088078e-05,0.00298204439773815,43.6429451157748,0.311641991304366,1,0.75
"FBgn0036411",5.51247576031277,5.83690145603546,36.9469459280714,1.16226522073995e-05,0.00309461920061562,2.00749098514828,103.053453606991,0.5,1
"FBgn0085384",-4.41365598724773,5.1830323727802,36.6774176005052,1.21449493447903e-05,0.00318542081844777,60.8222440294409,2.59292616145752,1,1
"FBgn0264386",2.55427803469814,8.02602946559453,36.5372864146379,1.24268215625129e-05,0.00321141963702999,74.2990405040283,437.762662726134,1,1
"FBgn0050158",3.42284541442891,6.09868438369942,36.3957137290063,1.27190358761032e-05,0.00323929880363423,10.6539250011558,117.150766922067,1,1
"FBgn0086677",2.42660705158129,7.49179032458766,36.1866429515264,1.31647128413044e-05,0.00330490712514631,54.7900918026956,295.921602301872,1,1
"FBgn0264503",-4.4238275546188,7.61302681333128,35.7796344453401,1.40832733103375e-05,0.0034857093222896,365.591905747076,16.6979661648259,1,1
"FBgn0000659",-6.7376805611282,4.36419394177607,35.3323040306417,1.517634374045e-05,0.00370408178542957,31.9177075666877,0.011756440462812,1,0.5
"FBgn0250910",-6.04698234046177,4.55016844227316,34.0648599093704,1.88245084465201e-05,0.00453154913603695,37.2844732869324,0.284003334331921,1,0.75
"FBgn0265592",7.07590857772184,4.90838877976651,33.4056397260728,2.11025490883744e-05,0.00498735668151438,0.0889374880216027,50.7054107854023,0.25,1
"FBgn0266377",2.70444136214484,6.13620454983455,33.356157699808,2.12855944411073e-05,0.00498735668151438,17.2480067817793,114.13508457908,1,1
"FBgn0038542",-4.52559856962683,5.09895559422405,33.2691274445626,2.16118595559076e-05,0.00499717378915743,57.0692387269043,2.21767071944757,1,1
"FBgn0031414",2.86819290466205,6.59101536216994,33.1755823842792,2.19687929941916e-05,0.0050137350556744,21.8891277954756,161.662105274928,1,1
"FBgn0260658",-3.45371019692145,5.47650081190607,33.0172965445656,2.25878556593134e-05,0.00508892804488608,73.3453059620792,6.42795600630307,1,1
"FBgn0052183",-4.70506495476319,5.80154401785606,32.8477669169554,2.32726011442217e-05,0.00517682810009378,98.7985885273399,3.50111103128102,1,1
"FBgn0031384",-3.55503383241005,6.43753257412648,32.5042407616623,2.47324288892546e-05,0.00543278716088589,151.444377033799,12.6419678949518,1,1
"FBgn0051221",3.56287273206401,9.35355912238233,31.949604855695,2.7310413311076e-05,0.00591421869572534,101.158645760023,1197.96045047788,1,1
"FBgn0053639",-2.98905048496687,6.02596739881582,31.891542475973,2.75972192027245e-05,0.00591421869572534,107.766304235113,13.2876770302784,1,1
"FBgn0038092",4.06770961204434,5.57817027386403,31.632918114375,2.89162779117554e-05,0.00612223797281057,4.63211601120515,81.6462053955331,1,1
"FBgn0262617",3.56621160391304,5.33772444520087,30.6761962542115,3.4445684015217e-05,0.00720611910951677,5.34773684113215,66.2452869945877,1,1
"FBgn0260793",-2.7160906275373,6.24454793493864,30.383258493275,3.63679575154766e-05,0.007518754322582,123.768144498017,18.6310506351764,1,1
"FBgn0262018",5.71240286495967,4.47394444008571,30.1046107564816,3.83083250013559e-05,0.00782781622382358,0.376403502333426,34.782135095031,0.75,1
"FBgn0035321",-2.22699056109379,6.75047851396996,29.6433332601052,4.17800489508826e-05,0.00843908965763057,170.000324630032,36.0886906479642,1,1
"FBgn0000183",3.1007212034889,6.27842785400162,29.3966588938744,4.37799739838603e-05,0.00874256230475428,14.9966662367378,130.977200015053,1,1
"FBgn0267252",2.51231990965745,10.9279250315058,29.2066072585782,4.53938859034991e-05,0.0089629972694628,579.469207146456,3307.69833060457,1,1
"FBgn0037171",4.72489891937326,4.94051533447026,29.0884005659287,4.64311894383549e-05,0.00906594768889122,1.64685080441887,50.4982884669186,1,1
"FBgn0035914",2.22395588498355,7.5676434882609,28.9256047288528,4.790341853853e-05,0.00925062388986361,65.0647462910343,305.081258969902,1,1
"FBgn0039938",-3.02779670143606,6.16280033462445,28.8510530337392,4.85949805514761e-05,0.00928216949164227,119.661340120773,14.364586086598,1,1
"FBgn0033404",-6.20766965136529,4.18922263656029,28.7693731251696,4.93655056786955e-05,0.00932795732571738,27.1269505183147,0.080624771484837,1,0.75
"FBgn0013973",-2.97260225055214,5.98812478757603,28.7037192022608,4.9994755784616e-05,0.00934636003620274,104.637663267796,13.0507134747711,1,1
"FBgn0004034",2.0910101775178,7.24806453341914,28.1576243513206,5.55904516655023e-05,0.0102830632328197,55.845848691349,238.875054413915,1,1
"FBgn0031245",-2.36801432127448,7.29699581624901,27.4411265632988,6.40236401433109e-05,0.0117196607108167,255.917993632463,49.3313483179328,1,1
"FBgn0032268",7.42310571354827,5.01988264077907,27.364755652999,6.50038671162838e-05,0.0117764222354068,0.0355749952086411,55.442562558295,0.25,1
"FBgn0034583",-3.53262142879598,5.79384686588905,26.9154740315628,7.11214493737312e-05,0.0127532370392304,93.9084650434221,7.79109685900858,1,1
"FBgn0013681",-5.39458562461242,4.90146694987019,26.4351334893266,7.83837207286941e-05,0.0139135063067206,49.6879123614812,0.899789364713495,1,1
"FBgn0261794",2.05235994343766,7.22794393453614,26.3270836960254,8.01292951041867e-05,0.0140811210286587,56.2734643006877,234.277690321642,1,1
"FBgn0266801",2.80293409349849,5.59420043452482,26.1757533946805,8.26476019792768e-05,0.0143798644513053,10.7132005615633,76.6256485060229,1,1
"FBgn0031424",-4.42698672692175,8.83541904130813,25.552101741649,9.40021783438948e-05,0.016195100784679,864.297390342915,40.0525457515219,1,0.75
"FBgn0085400",4.08714958575361,5.14139311932657,25.4485372420007,9.60516641204452e-05,0.016387532947462,3.17293993046123,58.1177869597149,1,1
"FBgn0002643",-2.13687544265579,7.12334717530512,25.3538264823181,9.79697577029986e-05,0.0165540630011038,219.813406374988,49.7763771651178,1,1
