"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0001145",11.4408061219479,9.7834936758208,173.551867718148,1.38175298244605e-39,2.42815451605245e-35,0.651695299222432,2627.63741433091,0.5,1
"FBgn0034638",8.67814691622969,6.98155193763766,106.746319839594,5.27264092795284e-25,4.63280595134576e-21,0.605581134252516,363.113272630534,0.75,1
"FBgn0015766",8.3778805297709,6.92158468889465,102.438501437808,4.62207912497917e-24,2.70745988210863e-20,0.769251603551879,347.322587927472,0.75,1
"FBgn0004595",6.20998496225065,7.53081990182925,89.1784911581487,3.71324628661689e-21,1.63132192486797e-17,6.8353626945345,526.395990483921,1,1
"FBgn0028490",7.01643397830868,6.89255555287766,87.8088632807347,7.41438925534494e-21,2.60586124768353e-17,2.291952848112,336.97053004091,1,1
"FBgn0033358",6.10080898740779,7.33810530538455,83.7044161404542,5.89401971179165e-20,1.72626013992191e-16,6.45278902917485,458.84866430554,1,1
"FBgn0035495",7.09189804570657,6.49014123308102,77.5380737211084,1.33073132802383e-18,2.77430677554333e-15,1.59435372681573,251.754480142869,1,1
"FBgn0004646",9.17299005817656,6.06614317695233,77.4641050623832,1.38145508862534e-18,2.77430677554333e-15,0.0467777013881188,186.12942890198,0.5,1
"FBgn0015777",7.82595965788969,6.28806497768134,77.4084947798927,1.42085932850908e-18,2.77430677554333e-15,0.691157236418486,218.271472896728,0.75,1
"FBgn0026439",9.22842040761399,6.04295318053041,76.8778666053974,1.85825279457354e-18,3.26550763590408e-15,0.0293180165621662,182.973529943298,0.5,1
"FBgn0040600",9.1417545475966,5.82896728067508,68.8300048966876,1.09202895788099e-16,1.74456589789479e-13,0,155.868372728161,0,1
"FBgn0031424",-7.66276915452491,9.18453379499411,67.939217679831,1.71485248320704e-16,2.51125855728312e-13,864.297390342915,4.05282864704436,1,1
"FBgn0026411",7.07068974324029,6.1275748258984,66.4182374633336,3.70649518129424e-16,5.01032614006797e-13,1.18369126601412,193.918771779597,1,1
"FBgn0058469",4.81995858908506,9.15598062227162,66.0211100426163,4.53295894179131e-16,5.68983482029276e-13,55.8480905758828,1584.81457175897,1,1
"FBgn0052105",-9.47678233871209,7.40521363147846,63.8948268930432,1.3322026465773e-15,1.56071980722019e-12,247.75471605642,0.0734276743931837,1,1
"FBgn0040823",6.305653933157,6.12942770393171,59.4627109720578,1.26262771478377e-14,1.38675980199345e-11,2.16782351349897,192.238797830854,0.75,1
"FBgn0266750",-7.36398890884449,7.69676816345955,58.6062340988741,1.95051804118659e-14,2.01626197281012e-11,303.866051590104,1.68690898208623,1,1
"FBgn0039915",6.25267173994829,6.06811474557334,57.2999889004064,3.7870278532826e-14,3.69719113698528e-11,2.14242760371865,182.321598522125,1,1
"FBgn0036899",5.78056180782852,6.24428992961694,56.4985038250448,5.69056255256628e-14,5.26317135453933e-11,3.49603793252294,206.990388861808,0.75,1
"FBgn0033268",8.55819284604501,5.48125335031756,54.4346617159883,1.62467180977383e-13,1.42751788565777e-10,0.0415041610767479,119.078913136362,0.25,1
"FBgn0051997",8.04033610365617,5.52427769706654,53.5043216465754,2.60762129733086e-13,2.18208233609501e-10,0.193695596977318,122.840684749785,0.5,1
"FBgn0029837",7.7649770621209,5.53851468068991,52.6549146468347,4.01702020083844e-13,3.20868618133336e-10,0.293864327035881,124.161428332248,0.5,1
"FBgn0022355",8.5222039589239,5.40015222236698,51.7430834295366,6.38875321749005e-13,4.88128523004142e-10,0.0280067654486943,111.833103537315,0.25,1
"FBgn0030237",8.43205028530226,5.31835692333669,48.8747677209677,2.75259789198335e-12,2.01547511482598e-09,0.0280067654486943,105.236120990822,0.25,1
"FBgn0265296",4.01707693082644,7.99558253750158,48.6615129745019,3.06853994020334e-12,2.15693809476773e-09,41.1224968356999,669.844134117879,1,1
"FBgn0010414",-8.50686587106713,6.65913604871365,48.5186563306151,3.30023859404557e-12,2.23058049281395e-09,145.023610978875,0.137435948367595,1,1
"FBgn0266872",7.31431256974304,5.47329330334929,48.3683379428046,3.56296949120515e-12,2.31896529144252e-09,0.453709600268847,118.8200716178,0.25,1
"FBgn0039081",8.19668496533515,5.31434683359106,47.7630631884758,4.85048523394065e-12,3.04419917914425e-09,0.0797301943698159,104.530695956604,0.5,1
"FBgn0266801",4.55668436184394,6.61482987627627,46.7611497787269,8.08398003285998e-12,4.89861314198098e-09,10.7132005615633,258.960011945803,1,1
"FBgn0263776",8.28856859721471,5.21857024384038,45.410534080927,1.60999822638977e-11,9.4308329441158e-09,0.0352471824302731,96.8879436580437,0.5,1
"FBgn0032048",-7.78334934137758,6.58897174791863,45.0316502918974,1.95340141530688e-11,1.10732655068348e-08,137.783806096587,0.311331788617671,1,0.5
"FBgn0030258",8.28853057044626,5.19418275225494,44.7346139431047,2.27315605853559e-11,1.24152463065862e-08,0.0296458293405342,95.1209840688885,0.25,1
"FBgn0036145",8.26473216581386,5.19608056079443,44.6850164108782,2.33143531620863e-11,1.24152463065862e-08,0.0336081185384331,95.3688379285657,0.25,1
"FBgn0019650",5.13307690612726,6.0370585968448,44.3593964443005,2.75301640977887e-11,1.4229046285013e-08,4.68656912032732,174.138277415292,1,1
"FBgn0085391",4.27046869127678,6.67683459742399,42.9613567264254,5.62164117186862e-11,2.82254572323564e-08,13.5521808729151,266.305210766028,1,1
"FBgn0250839",-8.48972617976209,6.28193846182704,41.6482289770793,1.09972448878961e-10,5.36818290041663e-08,110.266018350502,0.0266855818815146,1,0.5
"FBgn0038532",-5.59671058472013,7.23549490881818,41.3831312770252,1.25933420897001e-10,5.9811567714135e-08,217.535519493756,4.00840162473197,1,1
"FBgn0031275",5.20652232245664,5.83071885192875,40.9140085159095,1.60072404963999e-10,7.40250624324305e-08,3.7960013672094,149.678184892768,1,1
"FBgn0270928",4.34072590136392,6.36550915048529,39.6208925248774,3.10178953287036e-10,1.3976345502854e-07,10.3007828205127,213.18498067699,1,1
"FBgn0013467",4.12756659846079,6.53626896858109,38.9134072250235,4.45540886381744e-10,1.9573724990966e-07,13.3484944198806,238.104892081038,1,1
"FBgn0051008",7.12061599573938,5.10917632981519,37.6499922840818,8.50972204673634e-10,3.58934233649604e-07,0.362363279368736,88.2489582288881,0.5,1
"FBgn0038474",-7.10932651361549,6.29865295094936,37.6342506965415,8.57863643844726e-10,3.58934233649604e-07,111.416404889045,0.502138900748295,1,1
"FBgn0045038",-4.67616609364839,8.05347846256034,37.4324895070907,9.513015384054e-10,3.88772603125537e-07,384.558332788354,14.9611002787063,1,1
"FBgn0000180",-8.22973126401698,6.03762434432672,36.6270092409472,1.43756951994084e-09,5.74145663043647e-07,92.0411896933822,0.029475911048927,1,1
"FBgn0043841",7.76749985279669,4.96426479604668,36.2946123061563,1.70471985985492e-09,6.65712046605124e-07,0.0889374880216027,78.8111512982169,0.25,1
"FBgn0040571",5.05974393863463,5.62249247799722,35.4804076662568,2.58849151128627e-09,9.88860028865949e-07,3.54228839280112,127.139803036719,1,1
"FBgn0033926",3.56432387755923,7.12262686776488,35.1481241416316,3.0697648102976e-09,1.13961857614637e-06,29.0018565722504,345.378611652505,1,1
"FBgn0039719",-7.96496988922671,5.99344503363675,35.1209838015587,3.11282602031673e-09,1.13961857614637e-06,89.1064835167724,0.071161551684039,0.5,0.5
"FBgn0266137",6.41709677721882,5.09657166991796,33.9008700251699,5.82440867329516e-09,2.08882313501665e-06,0.757787803518284,87.5401984656501,1,1
"FBgn0028699",7.79445843764225,4.8413815459418,33.2481931132127,8.14535538192714e-09,2.86276660253211e-06,0.0474333269448548,71.2453982242774,0.25,1
"FBgn0261509",4.13612320664552,6.06223030942522,32.5799199495645,1.14849302349219e-08,3.95734664741732e-06,9.30803414034572,168.410531271382,1,1
"FBgn0033650",5.12008251679635,5.39343008780583,31.4878618653294,2.01444158471828e-08,6.80765037851045e-06,2.8318465955065,107.447522360989,0.5,1
"FBgn0004198",5.21840319297924,5.33539665329877,31.2162082675416,2.31682641901743e-08,7.68064916622147e-06,2.49498983693635,102.608298086484,1,1
"FBgn0263472",6.23910274306349,5.01942301760221,31.1801995352638,2.36018354848893e-08,7.68064916622147e-06,0.789790785653178,82.6582301214543,0.25,1
"FBgn0027108",7.08899160914031,4.80829996841802,29.9247373192909,4.50672798680474e-08,1.4203770229871e-05,0.239031421732125,68.9216720905826,0.25,1
"FBgn0027608",3.55022513860894,6.50663923412976,29.8923632420308,4.58257579827878e-08,1.4203770229871e-05,18.6340912985774,221.975639307934,1,1
"FBgn0063498",7.73868957965943,4.70437170896879,29.8591309737757,4.66176471442118e-08,1.4203770229871e-05,0.0224054123589554,63.529966840724,0.25,1
"FBgn0004102",-7.600185618226,5.7344238303259,29.8482541382139,4.68797970370749e-08,1.4203770229871e-05,73.2910745595373,0.11406490211176,1,1
"FBgn0035538",3.05902905380047,7.71610713039527,29.2972692570401,6.22856821485114e-08,1.83030442376995e-05,59.5551021642974,498.318296367837,1,1
"FBgn0036411",5.34643555628239,5.18431145274335,29.2908395579392,6.24926110659516e-08,1.83030442376995e-05,2.00749098514828,91.6082026068997,0.5,1
"FBgn0033250",3.10798676952831,7.48184905145404,29.2505130197408,6.38062529088374e-08,1.83814308584754e-05,49.017210604281,424.658500286185,1,1
"FBgn0026197",4.26170542262825,12.5954188412737,28.9326929737852,7.51760102917284e-08,2.13075488525249e-05,875.609364230185,16800.2785803572,1,1
"FBgn0051814",-7.66714610801251,5.64017679534753,28.6090801048495,8.88418505219609e-08,2.4781235543213e-05,68.2796924177099,0.0533711637630293,1,0.5
"FBgn0264503",-3.8530959484026,8.00289370231561,28.4209979382021,9.79011858847558e-08,2.68815240555127e-05,365.591905747076,25.4065872642257,1,1
"FBgn0267910",4.99534732626674,5.24398629762117,27.9831618597342,1.22740962392072e-07,3.31834912633214e-05,2.66232601003118,93.7445603910396,0.75,1
"FBgn0031414",3.37154133259639,6.57797341078522,27.9426111106887,1.25339217712009e-07,3.33725162553505e-05,21.8891277954756,229.440030884042,1,1
"FBgn0261859",4.36249925145961,5.56543088802911,27.7716461688838,1.36913743266876e-07,3.59102270213254e-05,5.46424396516973,117.541980509739,1,1
"FBgn0082980",7.67516924973445,4.55774520859811,26.5759967516166,2.54056628231264e-07,6.56549577633529e-05,0,56.0308267572202,0,0.5
"FBgn0261649",-3.91700473304317,7.2658047420052,26.3443436569684,2.86412920666969e-07,7.29439747084152e-05,217.190206869978,14.3244850556339,1,1
"FBgn0036116",7.65334522354206,4.53973521851201,26.1238184038007,3.21046303143175e-07,8.05963812162145e-05,0,55.2038796809853,0,1
"FBgn0040532",4.92246766933502,5.16279156979607,26.0178245552777,3.39156736802451e-07,8.39436807863306e-05,2.6711761378565,87.513441320758,0.25,1
"FBgn0262828",7.41228237715117,4.57713960987692,25.9811877416928,3.45651940225538e-07,8.43630770219914e-05,0.0641148610041105,58.0615623508758,0.25,1
"FBgn0267062",-7.58132300315243,5.48126698069022,25.9323774264577,3.54499487465127e-07,8.5337253331845e-05,60.4788798819858,0.0355807758420195,1,0.5
"FBgn0010905",3.79585658227476,5.86576984454863,25.8645628518177,3.67169919759312e-07,8.71929324314917e-05,9.95247395361427,141.416895305421,1,1
"FBgn0264789",6.09414544618181,4.80576836841435,25.8126391147175,3.77177369377109e-07,8.83751721608524e-05,0.741243455234757,69.3160163733242,0.5,1
"FBgn0037970",5.67931681526988,4.8882420563476,25.4284821294414,4.60228490559118e-07,0.000106415727165729,1.16846525309381,73.5019404745996,0.5,0.5
"FBgn0037535",-7.52765031652396,5.43595163730659,25.1134681329881,5.41848966454186e-07,0.000122505132828204,58.3606492531836,0.0467420925116691,0.75,0.5
"FBgn0085383",4.47187132811066,5.3286968802133,25.1066955609,5.43754644090359e-07,0.000122505132828204,4.18925546377158,98.7003809434393,0.75,1
"FBgn0267812",-5.9162154365256,5.75649969688822,24.9131501102109,6.01149364101266e-07,0.000133242205304397,74.1684154435144,1.04437450692685,1,1
"FBgn0260745",6.67059309910343,4.64216709948332,24.8958163422046,6.06576931904158e-07,0.000133242205304397,0.314291140017091,59.6621464031092,0.5,1
"FBgn0039930",7.59427656720532,4.48176682456177,24.7333699722759,6.59891789691589e-07,0.000143163931114201,0,53.3721939213337,0,1
"FBgn0052202",-6.1318618120975,5.63930699998211,24.3446327805704,8.07345559039061e-07,0.000172121310237056,68.0140128799766,0.642195881407228,0.75,1
"FBgn0035010",3.16594356376846,6.5038263187305,24.3312889598386,8.12955599480772e-07,0.000172121310237056,23.3927979063802,212.029070543838,1,1
"FBgn0047178",6.32569943487827,4.65560108228122,23.8629203159739,1.03672212273589e-06,0.000216884736462355,0.485265234564623,61.4978935101193,0.5,1
"FBgn0015829",6.90446501834868,4.54366038706048,23.6875448386216,1.13558649252655e-06,0.000234772487449047,0.189733307779419,54.9829357861315,0.25,1
"FBgn0038542",-7.09325051744666,5.40692901114946,23.6390587393702,1.16455129749594e-06,0.000237961162219724,57.0692387269043,0.155226336288604,1,1
"FBgn0038606",3.68989301829571,5.76302378592694,23.4885817210236,1.25924772339267e-06,0.000254353566013557,9.79799719852997,129.968929620619,1,1
"FBgn0038877",4.58478620772282,5.14334214852454,23.2973077430247,1.39084952066378e-06,0.000277743166211644,3.30359521856009,85.0765090464831,1,1
"FBgn0038063",3.30063912388861,6.15377335517669,23.1242379939785,1.52177907929121e-06,0.000300474424273983,16.6788279813187,166.793341748245,1,1
"FBgn0263773",3.10308112222213,6.44725967777403,23.0614349098289,1.57228901426353e-06,0.000306998164973923,23.1836932535422,201.442569760033,1,1
"FBgn0028496",3.73912366193697,5.66164652417368,22.9281874114889,1.68509342942763e-06,0.000325408206981667,8.69646751330772,120.846613398675,1,1
"FBgn0262855",-5.45412487912582,5.71486549239179,22.8047347044383,1.79683966279973e-06,0.000343215906460649,71.699644556934,1.2777626915631,1,1
"FBgn0267501",2.87666670309974,6.90405126094387,22.6958141806758,1.90158947909007e-06,0.000359318622753223,36.8586031896535,271.776627868088,1,1
"FBgn0267470",-4.92914824250901,5.91709502450865,22.454598256195,2.1558975134329e-06,0.000403038159612302,82.8376791628484,2.63849280732408,1,1
"FBgn0266648",7.45848962327704,4.38061069283923,22.3889858356069,2.23079333162968e-06,0.000412649802281351,0,48.3443104079186,0,1
