"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0035495",8.83922525092382,8.18302292686429,115.324604527445,3.99884663143811e-14,6.56974670608505e-10,1.59435372681573,854.772074585468,1,1
"FBgn0261549",7.62528562608299,7.14980941253318,110.673217359079,7.88284745039045e-14,6.56974670608505e-10,1.77364013247551,408.480696687447,1,1
"FBgn0004595",6.17008516756341,7.49558426828824,108.310312836004,1.1215637693197e-13,6.56974670608505e-10,6.8353626945345,513.7561299179,1,1
"FBgn0045038",-10.0912781595802,8.02840077105253,100.920044586047,3.50415094023229e-13,1.53946111181755e-09,384.558332788354,0.0593517237270676,1,1
"FBgn0012344",7.33029305028849,6.92272391354041,89.2754881925566,2.38660743050421e-12,8.38797047525008e-09,1.8941841582015,346.204862303658,0.5,1
"FBgn0052105",-9.66647179460965,7.40836826053269,80.5454311418067,1.12637581307137e-11,3.29896702718386e-08,247.75471605642,0.0118140683958478,1,0.5
"FBgn0031424",-6.42029831595895,9.19023313887413,79.5590016037546,1.35140272740266e-11,3.39260001837812e-08,864.297390342915,9.77994223366619,1,1
"FBgn0025360",8.48728713118167,5.9724812971906,77.3997425414602,2.0237932100357e-11,3.99199347919778e-08,0.191890041736516,174.01092353569,0.5,1
"FBgn0011582",5.96494694184061,7.49583360228367,77.3458120801836,2.0444967457338e-11,3.99199347919778e-08,7.83732579452952,511.815558953513,0.75,1
"FBgn0031347",8.11314528022634,6.29190655915313,73.302491485975,4.44348076619965e-11,7.80852875044264e-08,0.509447673774804,220.017820593171,0.75,1
"FBgn0033358",5.5656415137545,6.84181274637334,69.4854563162352,9.48116711090188e-11,1.51465954218072e-07,6.45278902917485,317.24572924742,1,1
"FBgn0266348",8.33993585068282,5.77157383355032,68.2124430911875,1.22774324070106e-10,1.79792766406998e-07,0.169532798804048,149.546763970659,0.5,1
"FBgn0001090",-8.75198304414223,7.16524580457456,64.5330442865317,2.63553960571965e-10,3.56264134548549e-07,208.133097542336,0.189869239577051,1,1
"FBgn0026411",7.00910864406171,6.08719516407784,63.924277672781,2.99811388370461e-10,3.76327537702437e-07,1.18369126601412,187.589161977189,1,1
"FBgn0005658",8.69271099681518,5.5435089597888,61.6574398358609,4.87666151196213e-10,5.71317151664737e-07,0.0118583317362137,125.925929293947,0.25,1
"FBgn0037171",7.31464338057125,6.74899107196203,59.3143252189189,8.15370083938704e-10,8.95531155315928e-07,1.64685080441887,305.45576478992,1,1
"FBgn0031751",-8.61679612175494,6.59765747151585,53.730226670375,2.91487403546799e-09,3.01312243678112e-06,138.168595554894,0.0590703419792388,1,0.5
"FBgn0266851",-6.26976326771733,7.48088656497555,51.0994487879934,5.45041558427738e-09,5.32111961458369e-06,259.356226404762,3.08348374635516,1,1
"FBgn0037153",4.01122666502732,7.00564605393556,50.7556010548736,5.92265149888375e-09,5.47782919946759e-06,20.277347491756,330.960039554071,1,1
"FBgn0266395",6.93560801714631,5.80982782690158,49.6678722621793,7.71882575969709e-09,6.76248904656783e-06,0.966454036501415,152.336296901251,0.25,1
"FBgn0011224",3.40045516392587,7.95683230164841,49.4807220176047,8.08127638866012e-09,6.76248904656783e-06,58.0127411243954,615.354467004417,1,1
"FBgn0031835",4.65310940698495,6.42326803530432,47.9705923778369,1.17430423307755e-08,9.38002194903265e-06,8.71803391974711,226.036434683321,1,1
"FBgn0010414",-8.09671507706544,6.66511816981318,47.5222561378425,1.31366796102257e-08,1.00369943821955e-05,145.023610978875,0.236703440538698,1,1
"FBgn0039205",6.31165394747788,7.49930277964565,47.0650375821514,1.47368723918053e-08,1.07904607725498e-05,6.23099500221628,516.310231103734,0.75,0.5
"FBgn0263290",6.4529574281322,6.72038518168062,46.4668037825043,1.71437811366768e-08,1.20507066365929e-05,3.09171935196893,296.132141864689,0.75,1
"FBgn0259677",6.64612722900033,5.52795257111896,46.0584070064472,1.90200959391902e-08,1.2855390228438e-05,0.934284809523767,122.548904909412,0.75,1
"FBgn0011661",5.04905723052773,6.37139374484609,44.1529455676736,3.10776599871949e-08,1.99496322538482e-05,6.42044035000739,221.514061888473,1,1
"FBgn0038494",7.55860790902751,5.3331541196857,44.0663762777309,3.17868151771326e-08,1.99496322538482e-05,0.263919220774462,106.449623135746,0.5,1
"FBgn0032048",-8.87833656691998,6.59321618095301,43.7511372552174,3.80315506336138e-08,2.30458082511895e-05,137.783806096587,0,1,0
"FBgn0038571",7.79984742446028,5.70581617770542,41.897445926333,5.63637573994313e-08,3.30160102926735e-05,0.349619701937383,141.852363374187,0.5,1
"FBgn0267458",-8.40998239638076,6.83589485276864,41.1524607257392,6.8852714145713e-08,3.90306046994392e-05,164.215977676104,0.191276148316195,1,0.5
"FBgn0004516",6.01073030252327,6.52852601550366,39.9169724109679,9.63378591065282e-08,5.29045374399694e-05,3.72763277567364,255.564892429467,0.75,1
"FBgn0259935",8.20203007237679,5.06021607694593,40.171031517765,1.17605467959343e-07,6.26266935893797e-05,0,86.0850146247141,0,1
"FBgn0270928",4.41803741846862,6.43546545351292,38.4974392948128,1.42606130993251e-07,7.37063982336586e-05,10.3007828205127,225.075690609228,1,1
"FBgn0000547",7.55340819876472,4.989407986627,37.8542931382395,1.70727944817131e-07,8.57200621220414e-05,0.136773783277505,81.0286369664338,0.75,1
"FBgn0053278",8.1776206325974,5.03929936046755,37.5973262338868,2.34910947087866e-07,0.000114669168699307,0,84.627455389713,0,1
"FBgn0267163",7.59510600563109,4.94028643227974,36.3483359203852,2.61713971663706e-07,0.000124299989839089,0.11265415149403,77.8807207648388,0.25,1
"FBgn0020910",-5.83876970460913,6.38266888981597,35.9394783603027,2.94314463021557e-07,0.000136104948912574,117.224508078328,1.762410519103,1,1
"FBgn0053517",5.19046407939281,5.48536604505894,35.7837461684678,3.07823670663479e-07,0.000138702188835111,2.8612886088452,114.693958384506,1,1
"FBgn0267501",3.73662897786589,7.59845202941226,35.503972255459,3.33745306608586e-07,0.000146622656825817,36.8586031896535,493.695597732194,1,1
"FBgn0000180",-6.88541011351642,6.0493590431008,35.035622607855,3.82367724160083e-07,0.000163886536991833,92.0411896933822,0.489723057438506,1,1
"FBgn0010453",7.67897508214878,4.8598550417324,34.7952613905729,4.10142314250066e-07,0.000169265266693325,0.0652208245491753,72.9861950371619,0.25,1
"FBgn0250839",-7.83623685251257,6.29010006210309,34.7617312351962,4.14181213669435e-07,0.000169265266693325,110.266018350502,0.190713384820537,1,1
"FBgn0025391",4.1777612302696,6.38408568087598,34.6804545492025,4.24144854174789e-07,0.000169397670963945,11.5480715121908,213.467979906124,1,1
"FBgn0265163",4.79896475510523,6.04749379604105,34.1676366885745,4.9306845537606e-07,0.000192548710362745,5.93781052000769,172.523123558651,1,1
"FBgn0051221",3.27749309679995,8.64295691214572,34.0646698533641,5.082654429045e-07,0.000194168448438278,101.158645760023,982.960090152025,1,1
"FBgn0034408",7.23194306441972,4.88880604171887,33.5549037739563,5.91049759511172e-07,0.000217863860210782,0.203714884325676,74.472653326917,1,1
"FBgn0261509",4.31777157603811,6.21992548083396,33.5319873861731,5.95087081893673e-07,0.000217863860210782,9.30803414034572,190.986974841367,1,1
"FBgn0033446",-7.20151668708669,6.12003473941556,33.2212323707524,6.52771046496089e-07,0.000234105012246444,97.081712645363,0.366798883766938,1,1
"FBgn0259982",4.74946656607959,5.70119950905056,33.1358972266513,6.69613034727915e-07,0.000235342197185473,4.67885373005519,132.742900385009,0.75,1
"FBgn0052521",-3.28855780224282,8.73651818189572,31.836106250934,9.90638328504357e-07,0.00034134288915308,602.0523873904,61.359033442513,1,1
"FBgn0038532",-3.79733729618188,7.27488969473144,31.3660320689196,1.14333732949184e-06,0.000386382055599232,217.535519493756,15.3754769912974,1,1
"FBgn0085385",4.71121004926557,5.50693387832677,31.2643410491157,1.17949456611059e-06,0.000391080339816252,4.08857133497918,114.230788167527,1,1
"FBgn0085248",7.62784822882169,5.01810869889971,30.4870710335112,1.49857618550862e-06,0.000483853746322757,0.123229767974255,83.011456624372,0.25,1
"FBgn0004198",5.19660419132783,5.32739501973666,30.453235827213,1.51436613257564e-06,0.000483853746322757,2.49498983693635,101.449040145043,1,1
"FBgn0264815",3.76170264804763,6.17882637137604,30.2667896733567,1.60455035791378e-06,0.000495383402750853,12.8505904085341,177.652658690119,1,1
