"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0033268",11.0908790138367,7.97064771658525,534.156475658387,1.13915343675668e-08,0.000200183433441251,0.0415041610767479,738.91724133939,0.25,1
"FBgn0035495",11.0321910397543,10.3558769607105,437.259164654908,2.52700061038752e-08,0.0002220349086317,1.59435372681573,3914.7666083784,1,1
"FBgn0026439",9.95683785111805,6.81825560161631,374.149268045272,4.6912510137237e-08,0.000244394904330022,0.0293180165621662,324.913776492645,0.5,1
"FBgn0034638",9.04723577237772,7.36855520266904,351.911235125397,5.98000504435933e-08,0.000244394904330022,0.605581134252516,481.000393501422,0.75,1
"FBgn0001145",9.93589213535707,8.32475217498225,329.947280818852,7.71662439746381e-08,0.000244394904330022,0.651695299222432,947.051333767927,0.5,1
"FBgn0037976",9.60768086439854,6.5088153925328,314.360024965686,9.34272372024717e-08,0.000244394904330022,0.0342637440951691,259.533508382133,0.5,1
"FBgn0013686",3.49253932998261,15.0164052179621,311.10116299265,9.73518653792839e-08,0.000244394904330022,7499.7846920886,84415.9035054385,1,1
"FBgn0004595",7.49610657624257,8.77818095398782,284.899804395329,1.37737021558709e-07,0.000273509422565492,6.8353626945345,1289.89660286512,1,1
"FBgn0015777",8.7362501514927,7.18078061635124,283.683878275609,1.40077664774906e-07,0.000273509422565492,0.691157236418486,420.318217015203,0.75,1
"FBgn0022355",9.16937359948886,6.07157963515668,249.103987757906,2.33561170071832e-07,0.000410437044167231,0.0280067654486943,188.089869855553,0.25,1
"FBgn0034808",8.83784569757329,7.74890634916483,240.627818498391,2.67546320752274e-07,0.000427417408598156,1.07872464871194,629.617914317732,0.75,1
"FBgn0035023",8.98024742156444,6.11712584711919,226.404620557458,3.39693304467814e-07,0.000463658145664581,0.0889374880216027,194.442261606342,0.25,1
"FBgn0030237",9.0506047357144,5.96105335784013,225.844908852038,3.43000961340667e-07,0.000463658145664581,0.0280067654486943,173.201888905527,0.25,1
"FBgn0260964",8.60368434170427,6.55578508695597,210.023014334581,4.55653587223165e-07,0.000538802917362309,0.399555885762701,267.843330475243,0.75,1
"FBgn0063498",8.8149193952198,5.71994985797847,209.523282469908,4.59912579550141e-07,0.000538802917362309,0.0224054123589554,144.429044960481,0.25,1
"FBgn0036145",8.69680450144019,5.65920336535427,194.296640059239,6.17266601092782e-07,0.000649950055009335,0.0336081185384331,137.881882040698,0.25,1
"FBgn0038877",6.29987797827618,6.65557071311793,193.378682544321,6.28757237532505e-07,0.000649950055009335,3.30359521856009,282.232610607798,1,1
"FBgn0029810",8.12229386769714,6.50958165272643,189.045419056393,6.86747977452794e-07,0.000670456789320997,0.639842703197958,258.463233899912,0.75,1
"FBgn0085432",3.72587632114748,8.63024772085679,182.22051467981,7.9230495580089e-07,0.00073279868359416,76.8925960237803,1021.27410983827,1,1
"FBgn0004045",8.35251267825379,5.76025686850987,175.692883837599,9.12876902370153e-07,0.000800030610785397,0.160367196490062,148.636956220832,0.5,1
"FBgn0043841",8.46240950273522,5.63953321628995,173.612603990068,9.56048644311918e-07,0.000800030610785397,0.0889374880216027,135.715485753205,0.25,1
"FBgn0087002",7.25163502046871,5.86655569844313,170.497233141307,1.02557838495163e-06,0.000819204043579776,0.759688501643588,159.872629924688,1,1
"FBgn0000253",3.55437249745093,11.0610016401559,167.44693353843,1.09987470104368e-06,0.000840352092236547,464.94820392924,5465.83283541369,1,1
"FBgn0051997",8.1348831959756,5.65951141886494,157.520869660558,1.39312763016558e-06,0.00102005966020416,0.193695596977318,137.590582281079,0.5,1
"FBgn0030258",8.27090743786951,5.25475891603948,149.686501197109,1.69618815480581e-06,0.0011922845777761,0.0296458293405342,100.785175077395,0.25,1
"FBgn0013684",2.96738389779193,10.4810167291087,146.227132298544,1.85604174182844e-06,0.00121773392546787,434.938154028827,3404.07045271629,1,1
"FBgn0039332",7.69733159973691,5.29805289650064,145.922847437185,1.87098480553306e-06,0.00121773392546787,0.204427681248851,103.926013805073,0.75,1
"FBgn0053517",5.47973917696665,5.73484990534649,144.518644115254,1.9419205288792e-06,0.00121876319478551,2.8612886088452,140.357720428853,1,1
"FBgn0004646",8.05257301073055,5.12974812825169,139.638037437314,2.21610418214102e-06,0.00134288271699186,0.0467777013881188,91.2275752161882,0.5,1
"FBgn0020907",7.31189749052505,6.09667942193535,137.763561739954,2.33414568102466e-06,0.00136726473508821,0.905072883756612,189.869916785051,0.75,1
"FBgn0028993",8.28589495460729,7.27165854717204,132.155669809175,2.73739144732663e-06,0.00155174773883455,1.09884864392392,447.80021705271,0.5,1
