"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0033268",11.0856932990382,7.96240329585526,525.627893983859,1.04232823579051e-08,0.000180662690545678,0.0414083044804211,734.658485614219,0.25,1
"FBgn0035495",11.1757048408177,10.3487217094894,413.586337670047,2.73430434760358e-08,0.000180662690545678,1.4069839781745,3895.72008365268,1,1
"FBgn0026439",9.952602774804,6.81104502097034,364.663179001523,4.53026801910879e-08,0.000180662690545678,0.0292523480520516,323.25537775181,0.5,1
"FBgn0034638",9.08597545533346,7.35712863585157,352.520461763359,5.1882392438169e-08,0.000180662690545678,0.57516375544726,477.179367817768,0.75,1
"FBgn0001145",9.93389505143887,8.31951760340186,329.039021827201,6.83556557189537e-08,0.000180662690545678,0.650378157110844,943.599484535323,0.5,1
"nls-tdTomato",-7.37571465764991,10.9670069737615,326.55290157083,7.04595476392462e-08,0.000180662690545678,2986.37941780797,17.6863573898673,1,1
"FBgn0013686",3.48957482436209,15.0074876342594,323.146550919811,7.34748053890641e-08,0.000180662690545678,7466.5798678522,83869.6445451484,1,1
"FBgn0015777",8.80007385307439,7.17138208399793,308.348614443041,8.86008565989853e-08,0.000180662690545678,0.643629010114709,417.616440565978,1,1
"FBgn0037976",9.59988396884216,6.49825520540559,305.6244694393,9.17949649924409e-08,0.000180662690545678,0.034192783247364,257.570479119749,0.5,1
"FBgn0004595",7.49223261178095,8.76869617003067,294.699000656671,1.06140489096572e-07,0.000188006648336757,6.80768089438771,1281.35035394197,1,1
"FBgn0022355",9.1672355323627,6.06643900672725,242.556321172187,2.30255523000462e-07,0.000370774188991561,0.027952298887626,187.40198361702,0.25,1
"FBgn0034808",8.85769058698474,7.74075645032253,225.640266480517,3.06623620025396e-07,0.00045260201512582,1.05249975612036,626.064416348958,0.5,1
"FBgn0035023",8.97506994127629,6.10911380790991,220.785544488551,3.3417772674001e-07,0.000455330005672754,0.0887320810294739,193.318836058075,0.25,1
"FBgn0030237",8.76627205383604,5.95479804481034,205.868311394345,4.40552197150711e-07,0.000548859737941875,0.0994689055562301,172.27949217846,0.5,1
"FBgn0063498",8.80621414646816,5.7088475580416,203.09185313599,4.6479399701508e-07,0.000548859737941875,0.0223618391101008,143.246166838477,0.25,1
"FBgn0038877",6.29566259694994,6.65033930072492,197.506937418256,5.18799272318465e-07,0.000567486496841234,3.29964162660143,281.174992186041,1,1
"FBgn0260964",8.53356408443002,6.54314922739037,195.084467042581,5.44643507384463e-07,0.000567486496841234,0.428443204955069,265.353285405495,0.75,1
"FBgn0029810",7.8154581474674,6.51117397917119,190.964345642506,5.92390826770911e-07,0.000582945484144064,0.86348839199953,258.346338600789,0.75,1
"FBgn0085432",3.72509575777478,8.61934055773505,180.478943615647,7.39642585602231e-07,0.000689541532566964,76.3435175154794,1013.44838146817,1,1
"FBgn0002868",8.70106763335258,6.85059353225244,173.981574412802,8.54093553610002e-07,0.000720658572976985,0.500059681541527,331.676204391145,0.25,1
"FBgn0036145",8.3544918467673,5.65228068008949,173.966118941581,8.54391126998062e-07,0.000720658572976985,0.120762470561929,137.010224750555,0.5,1
"FBgn0043841",8.45713990057576,5.63157237598052,169.26835175172,9.51150023849068e-07,0.00072285900938405,0.0887320810294739,134.922473635535,0.25,1
"FBgn0087002",7.2691914034811,5.85668163006615,167.49139921792,9.91280679986655e-07,0.00072285900938405,0.739141057961406,158.749092779439,1,1
"FBgn0267910",6.445485578201,6.38542371721648,166.692188158817,1.01001637858651e-06,0.00072285900938405,2.35568411888514,232.494421098681,1,1
"FBgn0004045",7.94728896714748,5.75582576920257,166.263904142798,1.02023797406432e-06,0.00072285900938405,0.308250798522165,147.870938249412,0.75,1
"FBgn0000253",3.5591554514598,11.0556569752989,162.195883862443,1.12404845947147e-06,0.000765779629331468,461.914005989667,5448.23027842027,1,1
"FBgn0000179",8.38011428065842,5.27757709226013,158.624985677039,1.22621544197702e-06,0.000804442745323668,0.0119194344447674,102.679275832306,0.25,1
