"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0033268",11.0453928631528,7.9621325950018,507.388984557812,3.76730102677473e-08,0.000667302030872609,0.0536808134537574,734.658485614219,0.25,1
"FBgn0013686",3.45219887761358,15.0131958027986,352.095558568401,1.44741752314157e-07,0.00128190532937033,7662.52224735487,83869.6445451484,1,1
"FBgn0002940",9.6760667520764,7.35472204854706,271.348130606946,3.75848183057601e-07,0.00178175841968022,0.276203760065638,477.122217669311,0.25,1
"FBgn0029810",9.35906112665064,6.50221431326032,266.329924882188,4.02361750054812e-07,0.00178175841968022,0.0981880560952754,258.346338600789,0.25,1
"FBgn0013684",3.38574612419706,10.3944635174642,230.308554051951,6.83278845742998e-07,0.00203363692306866,322.992892665641,3378.52992565395,1,1
"FBgn0013674",2.60691061756277,12.556449976741,219.058509558177,8.19684809760601e-07,0.00203363692306866,2231.3885119424,13595.05168598,1,1
"FBgn0028490",8.35396431817237,6.01029288033881,219.002646073234,8.2044442190884e-07,0.00203363692306866,0.249478513556527,179.433129223525,1,1
"FBgn0063498",8.81435609304015,5.70744842989305,203.055107292337,1.07935414980945e-06,0.00203363692306866,0.0231030720224177,143.246166838477,0.25,1
"FBgn0030237",8.67291292172632,5.95405782768194,200.060422363565,1.13904050319704e-06,0.00203363692306866,0.129468911145222,172.27949217846,0.5,1
"FBgn0015777",6.75606891588316,7.19028868553115,199.623065488698,1.14810417380944e-06,0.00203363692306866,3.56856039051721,417.616440565978,1,1
"FBgn0051997",8.72010344122533,5.64532946633432,186.891777354604,1.45718770536044e-06,0.00232937079807607,0.0298226741409764,136.61911790385,0.25,1
"FBgn0029123",8.60403482017207,5.49250699721883,182.813334201147,1.57807540094354e-06,0.00232937079807607,0.017704837661995,121.536086975555,0.5,1
"FBgn0250869",5.83579206470511,6.03025962547654,178.542439121171,1.71862541179398e-06,0.00234169322454668,2.80472726484455,176.98689898195,1,1
"FBgn0026439",8.33747585857287,6.81620017680072,171.245409833159,1.99761530022053e-06,0.00252741141520045,0.710592053614806,323.25537775181,0.75,1
"FBgn0287186",8.19008134233502,7.26201208865182,161.749576442357,2.45279731090473e-06,0.0027882440125175,1.220354338698,444.66121416276,0.5,1
"FBgn0035023",8.40069306636974,6.11069680736515,156.747141824634,2.74580535253562e-06,0.0027882440125175,0.27983297609156,193.318836058075,0.25,1
"FBgn0013676",3.22177276303293,12.0230120388541,153.336404662085,2.97133936925657e-06,0.0027882440125175,1100.59196623698,10270.9448497434,1,1
"FBgn0004198",6.99116166214734,6.12674237633437,150.284132683972,3.19342860523816e-06,0.0027882440125175,1.23191793729605,193.722820221331,1,1
"FBgn0022355",7.15002587499612,6.07956293728925,150.215313971184,3.19867439477986e-06,0.0027882440125175,1.01883345351226,187.40198361702,1,1
"myr-GFP-p10",-6.14233217221369,9.05753397846664,147.810174882589,3.38907275937935e-06,0.0027882440125175,786.543012883632,10.842469470698,1,1
"FBgn0036556",4.17974952515217,7.08497222803795,147.598165497048,3.40653691838276e-06,0.0027882440125175,19.3171728830671,355.168966455341,1,1
"nls-tdTomato",-6.94545083711914,10.539281600098,146.921200336595,3.46307052872947e-06,0.0027882440125175,2216.119905902,17.6863573898673,1,1
"FBgn0036116",7.95694098918972,5.57582184759485,136.227690885637,4.53689522271561e-06,0.00344481528867201,0.227525484067695,129.151867493729,0.75,1
"FBgn0030258",7.77902014340669,5.24757700911584,135.148122939969,4.66750787151404e-06,0.00344481528867201,0.160411064218686,100.130166483523,0.75,1
"FBgn0262952",3.30210071354506,8.54517810350452,130.481755914555,5.29014179656227e-06,0.00364621309229489,93.0961741087831,920.929197035831,1,1
