"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0011581",9.86983335334691,7.57746678310184,167.035581187657,4.26053275975593e-05,0.115179456481267,0.140078109888709,374.592817623045,0.5,1
"FBgn0032840",8.77030967955406,7.03066226401557,161.652775022719,4.6222999801461e-05,0.115179456481267,0.311183001143182,253.859744591204,1,1
"FBgn0031424",7.04442251090691,8.11864536365128,151.528235862528,5.42819534324322e-05,0.115179456481267,3.93316681467165,544.68851929672,1,1
"FBgn0004516",7.29430698017843,7.90618360685106,145.942546562763,5.95839708541144e-05,0.115179456481267,2.62335881210401,469.863065579681,1,1
"FBgn0250839",9.28817194069804,6.64592556106988,143.982493002022,6.16154277700186e-05,0.115179456481267,0.0266597545624793,192.893084925736,0.5,1
"FBgn0260964",7.82880156476637,7.09542210216494,125.252426228785,8.69772073441632e-05,0.115179456481267,0.818771961719213,265.353285405495,1,1
"FBgn0267673",8.53352267206112,6.21158486533142,113.722833600526,0.000110342551337433,0.115179456481267,0.116731758240591,140.669721547585,0.5,1
"ERCC-00002",-6.1623888164583,8.07356483725668,110.028602893294,0.000119673979544253,0.115179456481267,521.689068740682,7.00507532471305,1,1
"FBgn0000179",7.80751083690187,5.78606263927689,102.90720478627,0.000141026165700132,0.115179456481267,0.165531709314674,102.679275832306,1,1
"FBgn0032048",7.81047191182456,6.21644947281511,101.845790317629,0.000144653973196388,0.115179456481267,0.311030469895592,140.96819154493,0.5,1
"FBgn0268063",8.09757489115589,5.64655993592275,101.06562499369,0.000147403810325612,0.115179456481267,0.0533195091249586,92.5942373107182,0.5,1
"ERCC-00074",-5.31941647281254,7.47526739555806,99.386285506209,0.00015357491430378,0.115179456481267,337.449624629456,8.17526271342799,1,1
"FBgn0066292",8.00499632229194,5.43793972606207,94.5400280551828,0.000173534424623089,0.115179456481267,0.0266597545624793,79.0854489649718,0.5,1
"FBgn0266707",5.0744696689701,7.08614962446551,93.2370364514166,0.000179513487420822,0.115179456481267,7.23596803999991,257.096999342165,1,1
"FBgn0051665",4.92112937438547,6.59899937155947,93.0187946073192,0.000180542869452435,0.115179456481267,5.67072295053127,180.734018045283,1,1
"ERCC-00096",-6.13482496035057,7.59179051308553,92.681484963085,0.000182150084764363,0.115179456481267,370.819285104887,4.9971863853798,1,1
"FBgn0002940",10.7416684675824,7.91998370995959,158.995290495953,0.00019422768139964,0.115179456481267,0,477.122217669311,0,1
"ERCC-00113",-5.50125287271202,6.44130276334211,89.7300237571193,0.00019710190354152,0.115179456481267,160.388481141224,3.26524382292363,1,1
"FBgn0262116",7.69540094569063,5.39544455888488,84.838737702028,0.000225896706514714,0.115179456481267,0.105058582416532,76.48030429634,0.5,1
"FBgn0034808",7.25792818203276,8.3148619504204,83.2299607374899,0.000236646222554872,0.115179456481267,3.54605241930493,626.064416348958,1,1
"FBgn0000036",4.81380563765547,6.46405813284559,82.7168449100931,0.000240224402475596,0.115179456481267,5.46429346930944,163.596996308372,1,1
"FBgn0003248",9.865356859691,7.06129157240707,138.844558170339,0.000254970762517749,0.115179456481267,0,259.789187202161,0,1
"FBgn0267501",-9.92642355505809,7.13746409596537,129.11459815636,0.000294912826342875,0.115179456481267,270.946711341371,0,1,0
"ERCC-00004",-4.3759555055734,7.19112628621912,75.9896123548969,0.000294991942068166,0.115179456481267,269.317252830075,12.7023718616279,1,1
"ERCC-00136",-5.26310777261126,5.8746180017023,73.4999539737488,0.000319688646220586,0.115179456481267,104.836617913667,2.45531132520754,1,1
"FBgn0001230",-4.2961378803893,6.48043156465591,72.4100288547106,0.000331410477445764,0.115179456481267,160.527019843792,7.90217531730459,1,1
