"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0267498",-1.44783902802423,18.3592403057002,793.491954470123,3.99917341957172e-06,0.0278751789709695,492127.959764353,180399.19827901,1,1
"FBgn0001145",8.64154500421114,8.90449603810414,657.969977959226,6.01732027533501e-06,0.0278751789709695,2.06732524341241,947.051333767927,1,1
"FBgn0013686",4.13664117911673,15.4451331339005,619.363302393876,6.86517791956305e-06,0.0278751789709695,4798.94618301834,84415.9035054385,1,1
"FBgn0001090",10.495544616857,8.4982441565432,574.350411235895,8.09205749313235e-06,0.0278751789709695,0.189869239577051,713.712840866848,1,1
"FBgn0013675",4.14772315366167,10.826621693517,527.782902962873,9.72835524213933e-06,0.0278751789709695,193.210211412747,3429.67293296934,1,1
"ERCC-00130",-6.03565773003604,10.2647774639374,487.894634644154,1.1543344683245e-05,0.0278751789709695,2413.90221298416,36.4963898277733,1,1
"ERCC-00096",-7.4314875996842,8.87380018882311,446.44282454596,1.40028410403028e-05,0.0278751789709695,923.012288862693,5.0437032845924,1,1
"FBgn0034638",9.79412652534152,7.93823418858808,442.827381782795,1.42526431001701e-05,0.0278751789709695,0.237547585782185,481.000393501422,1,1
"ERCC-00002",-7.00583460203313,8.92306934664473,442.490430217683,1.42762539542893e-05,0.0278751789709695,953.549307670418,7.11764031961873,1,1
"FBgn0028993",10.3637034004139,7.83650115157683,401.69632710442,1.76164408764411e-05,0.0309573715521699,0.0354422051875433,447.80021705271,0.5,1
"FBgn0013676",3.97486742830568,12.4279726122572,329.158878338334,2.714282053275e-05,0.0368840304724643,658.202795138188,10353.6042062217,1,1
"FBgn0013674",3.32103123522106,12.880276631546,328.413593997251,2.72765566265599e-05,0.0368840304724643,1370.53994237026,13699.4850950922,1,1
"FBgn0026439",9.7574091609371,7.3850122355821,328.362584645442,2.72857449577213e-05,0.0368840304724643,0.0714471738707442,324.913776492645,1,1
"FBgn0038877",9.22899124932604,7.18845165047831,286.84598355841,3.65698670124928e-05,0.0459030195007526,0.166803866281013,282.232610607798,1,1
"FBgn0260964",9.52536520297884,7.1149297455639,265.04012039899,4.33927883539624e-05,0.0475315452232595,0.0597737963488109,267.843330475243,0.5,1
"FBgn0040600",9.16570308726808,7.19592016090571,261.141593433072,4.48056949853089e-05,0.0475315452232595,0.189306476081393,283.723847139768,1,1
"FBgn0015766",9.11742709907751,7.04490859197252,252.342998512711,4.82511427144725e-05,0.0475315452232595,0.155130488759079,254.611857270287,1,1
"ERCC-00074",-6.83193427821269,8.95152105531559,251.296294806454,4.86864971273358e-05,0.0475315452232595,971.786238518141,8.22754821518861,1,1
"ERCC-00004",-5.550669561891,8.31482481171625,201.779938066399,7.81644918397399e-05,0.0658439180110518,613.915520530322,12.8001818493083,1,1
"ERCC-00113",-6.09748789387096,7.02065275462089,195.680003779448,8.3504141642047e-05,0.0658439180110518,246.258287487893,3.29612938423307,1,1
"FBgn0087002",8.93082491225166,6.40299023737975,195.048944600022,8.40866304624652e-05,0.0658439180110518,0.0237688276656099,159.872629924688,1,1
"FBgn0250839",8.61427981951694,6.66575081515913,192.315877000703,8.66788909419017e-05,0.0658439180110518,0.190713384820537,193.528255122659,1,1
"FBgn0041605",2.8782830584238,11.4479143002469,189.107250753685,8.98733431282337e-05,0.0658439180110518,667.570792577612,4910.30795605041,1,1
"FBgn0013678",3.31966113081666,12.0154829811157,189.056621251344,8.99251142243921e-05,0.0658439180110518,752.760315938639,7518.34260573996,1,1
"FBgn0267910",7.62009757095841,6.91009585542793,171.601320041451,0.000110732916657507,0.0761040996875998,0.870727754457837,230.329441037398,1,1
"FBgn0036145",8.31080963787025,6.20332252814118,165.409079872379,0.000119818689056126,0.0761040996875998,0.130798897597812,137.881882040698,1,1
"FBgn0040532",8.78656856670799,7.70416925483023,164.589910426437,0.000121101318504509,0.0761040996875998,0.621647482027633,407.146263311411,0.5,1
"FBgn0013467",3.62938879696629,8.55082082949195,162.756829770513,0.000124044899682753,0.0761040996875998,55.125410195671,685.555187442987,1,1
"FBgn0032840",4.73485939125415,7.09943474278682,160.500698465107,0.000127812967909472,0.0761040996875998,9.30725466701022,255.604808739979,1,1
"FBgn0262539",8.64521391550548,6.44194392843906,157.671987755076,0.00013277730372141,0.0761040996875998,0.10759283342786,164.421335041501,0.5,1
"FBgn0004635",8.0449740904687,6.06147561099753,155.203998807947,0.000137341304869108,0.0761040996875998,0.166100411911441,124.037825649456,1,1
"FBgn0004045",8.63068775197057,6.30435430618141,154.55276674645,0.00013858369032056,0.0761040996875998,0.0717285556185731,148.636956220832,0.5,1
