"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0267498",-1.41902207406767,18.363578730339,775.66179616633,4.77273111921489e-06,0.0301667441366074,490953.177994336,183599.468987902,1,1
"FBgn0001145",8.63787479341057,8.89928436395412,677.750967965934,6.38161530927349e-06,0.0301667441366074,2.06511452072352,943.599484535323,1,1
"FBgn0013686",4.12926887558206,15.4361655088691,610.034152501844,8.00366962493063e-06,0.0301667441366074,4792.31940657928,83869.6445451484,1,1
"FBgn0001090",10.4846420448901,8.48564856790748,586.674927136954,8.70474925962673e-06,0.0301667441366074,0.189653343705733,707.428483785667,1,1
"FBgn0013675",4.14028268274249,10.8161585792565,538.919870843135,1.0447821538247e-05,0.0301667441366074,192.749429447915,3403.88901925501,1,1
"ERCC-00130",-6.0427159889467,10.2612745099567,496.586618835658,1.2455551651141e-05,0.0301667441366074,2408.22525049479,36.231082325482,1,1
"ERCC-00096",-7.4410465368212,8.87058535900403,457.711901942961,1.48382778981238e-05,0.0301667441366074,920.995896675356,4.9971863853798,1,1
"ERCC-00002",-7.02485807538876,8.91981035127705,454.704926347397,1.50497113721565e-05,0.0301667441366074,951.497326198408,7.00507532471305,1,1
"FBgn0034638",9.78444929203176,7.92694538168236,450.843235436031,1.53277647620091e-05,0.0301667441366074,0.237289305653885,477.179367817768,1,1
"FBgn0287186",10.3555594156172,7.82655355707326,407.654564751305,1.90242536399222e-05,0.0336976604723943,0.0353930324285356,444.66121416276,0.5,1
"FBgn0026439",9.75198321301724,7.37782635611579,332.280399300048,2.94804124807236e-05,0.0417519261237073,0.0713797342483221,323.25537775181,1,1
"FBgn0013676",3.96701651174582,12.4168881343285,326.956543479762,3.05172610382807e-05,0.0417519261237073,656.511829180493,10270.9448497434,1,1
"FBgn0013674",3.31310245001007,12.8699657020622,326.330136024496,3.06427505000957e-05,0.0417519261237073,1367.58845266745,13595.05168598,1,1
"FBgn0038877",9.22544113667011,7.18319742319157,289.971017565592,3.9448744673311e-05,0.0499111153141685,0.166651658144627,281.174992186041,1,1
"FBgn0260964",9.51386630159548,7.10189934572871,265.895536926783,4.74710927159475e-05,0.0523723371666058,0.0597304741199563,265.353285405495,0.5,1
"FBgn0040600",9.15968240399032,7.18827629957986,262.541559738508,4.87748263135043e-05,0.0523723371666058,0.189059674314482,282.177190991395,1,1
"FBgn0015766",9.12029205393775,7.04585486678733,254.994335588174,5.19068400182165e-05,0.0523723371666058,0.155002398016261,254.788324984384,1,1
"ERCC-00074",-6.83751737237353,8.94811729552136,252.023139000911,5.32209150905496e-05,0.0523723371666058,969.531688349896,8.17526271342799,1,1
"ERCC-00004",-5.55784281404524,8.31099098622249,203.926908007982,8.35454708697874e-05,0.0738225493823726,612.348915644471,12.7023718616279,1,1
