"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0037835",13.8658934192902,11.5357933697471,3179.21017755375,5.24501621317694e-30,7.3571842422233e-26,0.394241589037019,8898.41807406225,0.428571428571429,1
"FBgn0025360",-11.0658023856849,9.54756633560801,1333.59928119885,7.06310976202519e-25,4.95371203159636e-21,1117.61703490282,0.331223275276713,1,0.714285714285714
"FBgn0012344",-12.8950271652616,10.8336140283866,1065.93070770405,1.44556179838616e-23,6.75896511532089e-20,2732.54692747621,0.168868524659742,1,0.142857142857143
"FBgn0038571",-12.0800730469809,9.26302509116473,1042.79543427898,1.94128275933999e-23,6.80759331631552e-20,916.839150985174,0.0243431790344077,1,0.142857142857143
"FBgn0031294",-3.07304511835667,12.6075220076868,983.911911378409,4.23579656436877e-23,1.18831036816801e-19,8831.93808335784,1049.31613495877,1,1
"FBgn0000303",-6.94561490981809,10.6951444119903,808.54272489027,5.85228538897297e-22,1.36816678585206e-18,2472.20214296821,19.8525234276028,1,1
"FBgn0086677",-3.16055771347432,11.2650987065232,767.481890649198,1.17208461125331e-21,2.34869012029289e-18,3491.81602348059,390.356214838804,1,1
"FBgn0267252",-5.02389511551854,12.436183299191,735.331788718724,2.07123605741767e-21,3.63165352217471e-18,8182.61154121424,251.320228796871,1,1
"FBgn0261549",-7.60972444967111,10.0171894872271,653.973968880723,9.81352645344437e-21,1.52949261736071e-17,1545.80283520204,7.75214963859297,1,1
"FBgn0038570",8.29142237539199,9.17431317542921,602.37400970027,2.90778314544894e-20,4.07874741812123e-17,5.3650813262028,1714.48334375337,1,1
"FBgn0051221",-4.46289980566314,12.3199240044778,570.21678292914,5.9916841018331e-20,7.64048662694663e-17,7494.81777448793,339.67599875653,1,1
"FBgn0000489",10.3359313963786,7.05132924417347,551.270368423929,9.344697074822e-20,1.09231721557107e-16,0.109245839555687,389.609890923774,0.0714285714285714,1
"FBgn0083963",-10.1997766153328,9.07122584597455,466.371145061009,8.34208567301082e-19,9.00111044117868e-16,801.881999882348,0.511869922288181,1,0.142857142857143
"FBgn0000422",-3.5705422342495,10.303886487747,439.29349249687,1.81671807365205e-18,1.79560171543885e-15,1815.1376212725,152.591619990113,1,1
"FBgn0050497",-12.2627467993428,9.2709519721529,785.01115034766,1.92015582316837e-18,1.79560171543885e-15,921.931342413209,0,1,0
"FBgn0053547",-3.58345545906145,10.8959367296466,431.837979338225,2.26886947037232e-18,1.98908950380703e-15,2739.32356256834,228.380634767312,1,1
