"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0260964",12.3191910104005,8.64101796079306,2663.69828220289,1.57620391584318e-28,2.21094123275322e-24,0.0424714511078562,1090.44176907159,0.0714285714285714,1
"FBgn0035023",11.2586432170181,8.38074637512195,1736.95135782283,4.73247380446109e-26,3.20254845516123e-22,0.197378882920703,908.95144407879,0.357142857142857,1
"FBgn0003248",11.7235322701559,9.51631372892165,1689.33953792276,6.84939428636464e-26,3.20254845516123e-22,0.405225942021014,2005.83112856346,0.357142857142857,1
"FBgn0011581",11.3430052294517,9.63882125032248,1527.31731825712,2.61535688216519e-25,9.17140274653279e-22,0.640300781080339,2183.89528883996,0.428571428571429,1
"FBgn0000121",11.0005542386568,8.2775619281398,1423.03112500422,6.68511371472205e-25,1.87544180152812e-21,0.231245956927868,845.623414888406,0.357142857142857,1
"FBgn0266526",10.9045214402975,7.2034379530919,1100.53394716936,2.00224549348017e-23,4.22405742682856e-20,0.0375087808078519,397.915310730662,0.0714285714285714,1
"FBgn0029810",10.7705573427653,9.26851807491944,1096.2496889356,2.10796335551436e-23,4.22405742682856e-20,0.757773299366232,1687.38706842237,0.428571428571429,1
"FBgn0034638",10.6232617184779,8.10941614659689,1057.04026010051,3.40741982013625e-23,5.66430520406439e-20,0.293793100583507,751.628593490145,0.285714285714286,1
"FBgn0026439",10.5654139344361,7.65350423320678,1051.88190983404,3.63432999476577e-23,5.66430520406439e-20,0.183300943932569,546.043816565526,0.285714285714286,1
"FBgn0029837",9.85260958908812,7.66281907770118,865.262302263223,4.73542287750486e-22,6.06961267548773e-19,0.426603222934105,549.201282917218,0.5,1
"FBgn0036116",10.3865511807756,7.19434592921134,864.923447244659,4.75980177018358e-22,6.06961267548773e-19,0.120791287953406,395.222709536901,0.214285714285714,1
"FBgn0051706",10.4145575588246,7.37094061796448,846.360708363385,6.32513001864431e-22,6.76739567248002e-19,0.151848334410769,447.613290620702,0.214285714285714,1
"FBgn0036046",10.3981089528753,7.75073088978976,844.379816146408,6.52230835751109e-22,6.76739567248002e-19,0.253377607610245,584.525162612091,0.285714285714286,1
"FBgn0026314",10.5702320123392,6.86779508836794,842.129283436178,6.75436938865903e-22,6.76739567248002e-19,0.036415279821804,313.785764586485,0.0714285714285714,1
