gene_id,name
FBgn0000206,boss
FBgn0025595,AkhR
FBgn0266429,AstA-R1
FBgn0039595,AstA-R2
FBgn0036790,AstC-R1
FBgn0036789,AstC-R2
FBgn0037100,CapaR
FBgn0039396,CCAP-R
FBgn0050106,CCHa1-R
FBgn0033058,CCHa2-R
FBgn0259231,CCKLR-17D1
FBgn0030954,CCKLR-17D3
FBgn0025632,CG4313
FBgn0039419,CG12290
FBgn0033579,CG13229
FBgn0034996,CG13575
FBgn0031770,CG13995
FBgn0050340,CG30340
FBgn0052547,CG32547
FBgn0053639,CG33639
FBgn0053696,CNMaR
FBgn0036278,CrzR
FBgn0038874,ETHR
FBgn0035385,FMRFaR
FBgn0016650,Lgr1
FBgn0039354,Lgr3
FBgn0085440,Lgr4
FBgn0035610,Lkr
FBgn0025631,moody
FBgn0035331,MsR1
FBgn0264002,MsR2
FBgn0037408,NPFR
FBgn0038201,PK1-R
FBgn0038140,PK2-R1
FBgn0038139,PK2-R2
FBgn0029723,Proc-R
FBgn0003255,rk
FBgn0004842,RYa-R
FBgn0038880,SIFaR
FBgn0036934,sNPF-R
FBgn0029768,SPR
FBgn0004841,Tkr86C
FBgn0004622,TkR99D
FBgn0046687,Tre1
FBgn0085410,TrissinR
FBgn0052843,Dh31-R
FBgn0033932,Dh44-R1
FBgn0033744,Dh44-R2
FBgn0030437,hec
FBgn0260753,Pdfr
FBgn0039818,CG11318
FBgn0039821,CG15556
FBgn0033313,Cirl
FBgn0024836,stan
FBgn0023000,mth
FBgn0030766,mthl1
FBgn0035623,mtlh2
FBgn0028956,mthl3
FBgn0034219,mtlhl4
FBgn0037960,mthl5
FBgn0035789,mtlh6
FBgn0035847,mthl7
FBgn0052475,mtlhl8
FBgn0035131,mthl9
FBgn0035132,mtlh10
FBgn0045443,mtlh11
FBgn0045442,mtlh12
FBgn0050018,mtlh13
FBgn0052476,mtlh14
FBgn0051720,mtlh15
FBgn0035010,CG13579
FBgn0039747,AdoR
FBgn0052447,CG32447
FBgn0051660,smog
