gene_id,name
FBgn0001991,Ca-alpha1D
FBgn0264386,Ca-alpha1T
FBgn0259822,Ca-beta
FBgn0263111,Ca-cac
FBgn0261999,Ca-Ma2d
FBgn0028863,Ca-CG4587
FBgn0261041,Ca-stj
FBgn0263397,K-Ih
FBgn0000535,K-eag
FBgn0011589,K-Elk
FBgn0033494,K-KCNQ
FBgn0003353,K-sei
FBgn0003380,K-Sh
FBgn0262593,K-Shab
FBgn0005564,K-Shal
FBgn0003386,K-Shaw
FBgn0085395,K-Shawl
FBgn0285944,Na-para
FBgn0037766,Na-Teh1
FBgn0035505,Na-Teh2
FBgn0040697,Na-Teh3
FBgn0035504,Na-Teh4
FBgn0003710,Na-tipE
FBgn0051116,Cl-ClC-a
FBgn0033755,Cl-ClC-b
FBgn0036566,Cl-ClC-c
FBgn0033995,Cl-GPHR
FBgn0038721,Cl-subdued
