gene_id,name
FBgn0004552,Akh
FBgn0086782,amn
FBgn0015591,AstA
FBgn0032336,AstC
FBgn0032337,AstCC
FBgn0038901,Burs
FBgn0039722,Capa
FBgn0039007,CCAP
FBgn0038199,CCHa1
FBgn0038147,CCHa2
FBgn0013767,Crz
FBgn0032048,Dh31
FBgn0012344,Dh44
FBgn0000500,Dsk
FBgn0000564,Eh
FBgn0028738,ETH
FBgn0000715,FMRFa
FBgn0261386,Gpa2
FBgn0063368,Gpb5
FBgn0028374,Hug
FBgn0044051,Ilp1
FBgn0036046,Ilp2
FBgn0044050,Ilp3
FBgn0044049,Ilp4
FBgn0044048,Ilp5
FBgn0044047,Ilp6
FBgn0044046,Ilp7
FBgn0036690,Ilp8
FBgn0035023,ITP
FBgn0028418,Lk
FBgn0036713,Mip
FBgn0011581,Ms
FBgn0027109,NPF
FBgn0035092,Nplp1
FBgn0287423,Nplp2
FBgn0042201,Nplp3
FBgn0040717,Nplp4
FBgn0034935,Orcokinin
FBgn0264810,Pburs
FBgn0023178,Pdf
FBgn0045038,Proc
FBgn0013323,Ptth
FBgn0085512,Rya
FBgn0053527,SIFa
FBgn0032840,sNPF
FBgn0003034,SP
FBgn0033358,spab
FBgn0037976,Tk
