gene_id	transcript_id(s)	length	D71_r1	D71_r2	EPG1_r1	EPG1_r2	R_r1	R_r2	whole_brain1	whole_brain2
ERCC-00002	DQ459430	1061.0	983.06	1898.9	1546.35	724.77	2584.7	2919.55	2.63	3.07
ERCC-00003	DQ516784	1023.0	98.03	218.55	66.83	99.83	151.17	453.37	0.91	0.56
ERCC-00004	DQ516752	523.0	491.27	906.44	598.99	304.49	1256.82	886.66	4.19	6.06
ERCC-00009	DQ668364	984.0	29.78	64.2	90.67	23.3	50.23	207.71	0.68	0.12
ERCC-00012	DQ883670	994.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00013	EF011062	808.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00014	DQ875385	1957.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00016	DQ883664	844.0	0.0	0.0	3.91	0.0	0.0	0.0	0.00	0.00
ERCC-00017	DQ459420	1136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00019	DQ883651	644.0	0.0	8.55	0.48	1.14	9.6	6.19	0.00	0.00
ERCC-00022	DQ855004	751.0	7.81	6.46	41.27	4.98	11.24	44.7	0.48	0.00
ERCC-00024	DQ854993	536.0	0.0	0.0	0.0	0.24	0.0	0.0	0.00	0.00
ERCC-00025	DQ883689	1994.0	15.84	21.98	18.54	13.57	56.49	36.73	0.00	0.05
ERCC-00028	DQ459419	1130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00031	DQ459431	1138.0	0.0	0.17	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00033	DQ516796	2022.0	0.0	0.0	0.04	0.0	0.15	0.0	0.00	0.00
ERCC-00034	DQ855001	1019.0	1.39	0.0	0.64	0.0	0.11	16.05	0.00	0.00
ERCC-00035	DQ459413	1130.0	0.0	25.28	0.16	11.71	22.5	25.55	0.00	0.05
ERCC-00039	DQ883656	740.0	0.0	0.0	0.0	0.0	0.16	0.0	0.00	0.00
ERCC-00040	DQ883661	744.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00041	EF011069	1122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00042	DQ516783	1023.0	78.68	176.85	124.1	97.51	294.95	419.44	0.52	0.85
ERCC-00043	DQ516787	1023.0	4.34	23.13	1.01	4.06	11.83	7.22	0.07	0.00
ERCC-00044	DQ459424	1156.0	5.64	8.47	6.42	0.0	2.59	0.92	0.00	0.00
ERCC-00046	DQ516748	522.0	179.62	173.63	289.23	92.84	261.99	578.07	1.56	1.21
ERCC-00048	DQ883671	992.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00051	DQ516740	274.0	0.0	0.0	0.0	0.0	0.74	0.0	0.00	0.00
ERCC-00053	DQ516785	1023.0	1.38	1.26	0.73	0.64	0.21	7.33	0.07	0.00
ERCC-00054	DQ516731	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00057	DQ668366	1021.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00058	DQ459418	1136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00059	DQ668356	525.0	0.0	0.0	0.0	0.0	4.22	0.0	0.31	0.00
ERCC-00060	DQ516763	523.0	39.38	57.17	33.41	38.85	157.41	116.66	0.47	0.27
ERCC-00061	DQ459426	1136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00062	DQ516786	1023.0	0.39	2.23	0.37	0.32	6.61	18.61	0.00	0.00
ERCC-00067	DQ883653	644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00069	DQ459421	1137.0	0.0	0.0	0.0	0.19	0.0	0.0	0.00	0.00
ERCC-00071	DQ883654	642.0	12.8	1.37	35.6	1.52	5.1	21.36	0.23	0.00
ERCC-00073	DQ668358	603.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00074	DQ516754	522.0	804.12	1236.34	1143.16	593.54	2299.35	2203.13	3.89	2.70
ERCC-00075	DQ516778	1023.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00076	DQ883650	642.0	3.33	0.0	0.0	4.25	22.31	60.49	0.00	0.00
ERCC-00077	DQ516742	273.0	0.0	0.0	0.0	0.0	0.0	14.88	0.00	0.00
ERCC-00078	DQ883673	993.0	0.51	6.9	2.08	13.4	0.11	9.24	0.14	0.00
ERCC-00079	DQ883652	644.0	2.27	3.42	16.28	3.99	40.11	0.0	0.00	0.00
ERCC-00081	DQ854991	534.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00083	DQ516780	1022.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.00
ERCC-00084	DQ883682	994.0	3.47	0.0	0.0	0.0	0.0	5.38	0.00	0.00
ERCC-00085	DQ883669	844.0	0.0	0.0	0.0	0.0	10.06	0.0	0.00	0.00
ERCC-00086	DQ516791	1020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00092	DQ459425	1124.0	11.22	64.76	8.27	9.0	4.3	61.04	0.00	0.00
ERCC-00095	DQ516759	521.0	102.68	97.84	71.78	27.92	279.58	113.39	0.31	0.00
ERCC-00096	DQ459429	1107.0	924.18	1841.28	923.31	630.07	2114.06	2618.39	2.50	1.54
ERCC-00097	DQ516758	523.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
